gridnumber,capital,dist[0 0 0],dist[0 0 1],dist[0 0 2],dist[0 0 3],dist[0 0 4],dist[0 0 5],dist[0 0 6],dist[0 1 0],dist[0 1 1],dist[0 1 2],dist[0 1 3],dist[0 1 4],dist[0 1 5],dist[0 1 6],dist[0 2 0],dist[0 2 1],dist[0 2 2],dist[0 2 3],dist[0 2 4],dist[0 2 5],dist[0 2 6],dist[0 3 0],dist[0 3 1],dist[0 3 2],dist[0 3 3],dist[0 3 4],dist[0 3 5],dist[0 3 6],dist[0 4 0],dist[0 4 1],dist[0 4 2],dist[0 4 3],dist[0 4 4],dist[0 4 5],dist[0 4 6],dist[0 5 0],dist[0 5 1],dist[0 5 2],dist[0 5 3],dist[0 5 4],dist[0 5 5],dist[0 5 6],dist[0 6 0],dist[0 6 1],dist[0 6 2],dist[0 6 3],dist[0 6 4],dist[0 6 5],dist[0 6 6],dist[1 0 0],dist[1 0 1],dist[1 0 2],dist[1 0 3],dist[1 0 4],dist[1 0 5],dist[1 0 6],dist[1 1 0],dist[1 1 1],dist[1 1 2],dist[1 1 3],dist[1 1 4],dist[1 1 5],dist[1 1 6],dist[1 2 0],dist[1 2 1],dist[1 2 2],dist[1 2 3],dist[1 2 4],dist[1 2 5],dist[1 2 6],dist[1 3 0],dist[1 3 1],dist[1 3 2],dist[1 3 3],dist[1 3 4],dist[1 3 5],dist[1 3 6],dist[1 4 0],dist[1 4 1],dist[1 4 2],dist[1 4 3],dist[1 4 4],dist[1 4 5],dist[1 4 6],dist[1 5 0],dist[1 5 1],dist[1 5 2],dist[1 5 3],dist[1 5 4],dist[1 5 5],dist[1 5 6],dist[1 6 0],dist[1 6 1],dist[1 6 2],dist[1 6 3],dist[1 6 4],dist[1 6 5],dist[1 6 6],dist[2 0 0],dist[2 0 1],dist[2 0 2],dist[2 0 3],dist[2 0 4],dist[2 0 5],dist[2 0 6],dist[2 1 0],dist[2 1 1],dist[2 1 2],dist[2 1 3],dist[2 1 4],dist[2 1 5],dist[2 1 6],dist[2 2 0],dist[2 2 1],dist[2 2 2],dist[2 2 3],dist[2 2 4],dist[2 2 5],dist[2 2 6],dist[2 3 0],dist[2 3 1],dist[2 3 2],dist[2 3 3],dist[2 3 4],dist[2 3 5],dist[2 3 6],dist[2 4 0],dist[2 4 1],dist[2 4 2],dist[2 4 3],dist[2 4 4],dist[2 4 5],dist[2 4 6],dist[2 5 0],dist[2 5 1],dist[2 5 2],dist[2 5 3],dist[2 5 4],dist[2 5 5],dist[2 5 6],dist[2 6 0],dist[2 6 1],dist[2 6 2],dist[2 6 3],dist[2 6 4],dist[2 6 5],dist[2 6 6],dist[3 0 0],dist[3 0 1],dist[3 0 2],dist[3 0 3],dist[3 0 4],dist[3 0 5],dist[3 0 6],dist[3 1 0],dist[3 1 1],dist[3 1 2],dist[3 1 3],dist[3 1 4],dist[3 1 5],dist[3 1 6],dist[3 2 0],dist[3 2 1],dist[3 2 2],dist[3 2 3],dist[3 2 4],dist[3 2 5],dist[3 2 6],dist[3 3 0],dist[3 3 1],dist[3 3 2],dist[3 3 3],dist[3 3 4],dist[3 3 5],dist[3 3 6],dist[3 4 0],dist[3 4 1],dist[3 4 2],dist[3 4 3],dist[3 4 4],dist[3 4 5],dist[3 4 6],dist[3 5 0],dist[3 5 1],dist[3 5 2],dist[3 5 3],dist[3 5 4],dist[3 5 5],dist[3 5 6],dist[3 6 0],dist[3 6 1],dist[3 6 2],dist[3 6 3],dist[3 6 4],dist[3 6 5],dist[3 6 6],dist[4 0 0],dist[4 0 1],dist[4 0 2],dist[4 0 3],dist[4 0 4],dist[4 0 5],dist[4 0 6],dist[4 1 0],dist[4 1 1],dist[4 1 2],dist[4 1 3],dist[4 1 4],dist[4 1 5],dist[4 1 6],dist[4 2 0],dist[4 2 1],dist[4 2 2],dist[4 2 3],dist[4 2 4],dist[4 2 5],dist[4 2 6],dist[4 3 0],dist[4 3 1],dist[4 3 2],dist[4 3 3],dist[4 3 4],dist[4 3 5],dist[4 3 6],dist[4 4 0],dist[4 4 1],dist[4 4 2],dist[4 4 3],dist[4 4 4],dist[4 4 5],dist[4 4 6],dist[4 5 0],dist[4 5 1],dist[4 5 2],dist[4 5 3],dist[4 5 4],dist[4 5 5],dist[4 5 6],dist[4 6 0],dist[4 6 1],dist[4 6 2],dist[4 6 3],dist[4 6 4],dist[4 6 5],dist[4 6 6],dist[5 0 0],dist[5 0 1],dist[5 0 2],dist[5 0 3],dist[5 0 4],dist[5 0 5],dist[5 0 6],dist[5 1 0],dist[5 1 1],dist[5 1 2],dist[5 1 3],dist[5 1 4],dist[5 1 5],dist[5 1 6],dist[5 2 0],dist[5 2 1],dist[5 2 2],dist[5 2 3],dist[5 2 4],dist[5 2 5],dist[5 2 6],dist[5 3 0],dist[5 3 1],dist[5 3 2],dist[5 3 3],dist[5 3 4],dist[5 3 5],dist[5 3 6],dist[5 4 0],dist[5 4 1],dist[5 4 2],dist[5 4 3],dist[5 4 4],dist[5 4 5],dist[5 4 6],dist[5 5 0],dist[5 5 1],dist[5 5 2],dist[5 5 3],dist[5 5 4],dist[5 5 5],dist[5 5 6],dist[5 6 0],dist[5 6 1],dist[5 6 2],dist[5 6 3],dist[5 6 4],dist[5 6 5],dist[5 6 6],dist[6 0 0],dist[6 0 1],dist[6 0 2],dist[6 0 3],dist[6 0 4],dist[6 0 5],dist[6 0 6],dist[6 1 0],dist[6 1 1],dist[6 1 2],dist[6 1 3],dist[6 1 4],dist[6 1 5],dist[6 1 6],dist[6 2 0],dist[6 2 1],dist[6 2 2],dist[6 2 3],dist[6 2 4],dist[6 2 5],dist[6 2 6],dist[6 3 0],dist[6 3 1],dist[6 3 2],dist[6 3 3],dist[6 3 4],dist[6 3 5],dist[6 3 6],dist[6 4 0],dist[6 4 1],dist[6 4 2],dist[6 4 3],dist[6 4 4],dist[6 4 5],dist[6 4 6],dist[6 5 0],dist[6 5 1],dist[6 5 2],dist[6 5 3],dist[6 5 4],dist[6 5 5],dist[6 5 6],dist[6 6 0],dist[6 6 1],dist[6 6 2],dist[6 6 3],dist[6 6 4],dist[6 6 5],dist[6 6 6]
0,0,2.46032e-007,2.35975e-006,9.31855e-006,1.47115e-005,9.31854e-006,2.35975e-006,2.46031e-007,2.40092e-006,2.30278e-005,9.09356e-005,0.000143563,9.09355e-005,2.30277e-005,2.40091e-006,9.57753e-006,9.18604e-005,0.000362752,0.000572688,0.000362752,9.18602e-005,9.5775e-006,1.51718e-005,0.000145516,0.000574636,0.000907195,0.000574635,0.000145516,1.51717e-005,9.57753e-006,9.18604e-005,0.000362752,0.000572688,0.000362752,9.18602e-005,9.5775e-006,2.40092e-006,2.30278e-005,9.09356e-005,0.000143563,9.09355e-005,2.30277e-005,2.40091e-006,2.46032e-007,2.35975e-006,9.31855e-006,1.47115e-005,9.31854e-006,2.35975e-006,2.46031e-007,2.40092e-006,2.30278e-005,9.09356e-005,0.000143563,9.09355e-005,2.30277e-005,2.40091e-006,2.34295e-005,0.000224718,0.000887401,0.00140097,0.0008874,0.000224718,2.34295e-005,9.34629e-005,0.000896425,0.00353994,0.00558861,0.00353994,0.000896424,9.34627e-005,0.000148055,0.00142003,0.00560762,0.00885292,0.00560761,0.00142002,0.000148054,9.34629e-005,0.000896425,0.00353994,0.00558861,0.00353994,0.000896424,9.34627e-005,2.34295e-005,0.000224718,0.000887401,0.00140097,0.0008874,0.000224718,2.34295e-005,2.40092e-006,2.30278e-005,9.09356e-005,0.000143563,9.09355e-005,2.30277e-005,2.40091e-006,9.57753e-006,9.18604e-005,0.000362752,0.000572688,0.000362752,9.18602e-005,9.5775e-006,9.34629e-005,0.000896425,0.00353994,0.00558861,0.00353994,0.000896424,9.34627e-005,0.000372834,0.00357594,0.0141212,0.0222936,0.0141212,0.00357593,0.000372833,0.000590606,0.00566464,0.0223694,0.0353153,0.0223694,0.00566464,0.000590604,0.000372834,0.00357594,0.0141212,0.0222936,0.0141212,0.00357593,0.000372833,9.34629e-005,0.000896425,0.00353994,0.00558861,0.00353994,0.000896424,9.34627e-005,9.57753e-006,9.18604e-005,0.000362752,0.000572688,0.000362752,9.18602e-005,9.5775e-006,1.51718e-005,0.000145516,0.000574636,0.000907195,0.000574635,0.000145516,1.51717e-005,0.000148055,0.00142003,0.00560762,0.00885292,0.00560761,0.00142002,0.000148054,0.000590606,0.00566464,0.0223694,0.0353153,0.0223694,0.00566464,0.000590604,0.000935579,0.00897336,0.0354354,0.0559429,0.0354353,0.00897335,0.000935576,0.000590606,0.00566464,0.0223694,0.0353153,0.0223694,0.00566464,0.000590604,0.000148055,0.00142003,0.00560762,0.00885292,0.00560761,0.00142002,0.000148054,1.51718e-005,0.000145516,0.000574636,0.000907195,0.000574635,0.000145516,1.51717e-005,9.57753e-006,9.18604e-005,0.000362752,0.000572688,0.000362752,9.18602e-005,9.5775e-006,9.34629e-005,0.000896425,0.00353994,0.00558861,0.00353994,0.000896424,9.34627e-005,0.000372834,0.00357594,0.0141212,0.0222936,0.0141212,0.00357593,0.000372833,0.000590606,0.00566464,0.0223694,0.0353153,0.0223694,0.00566464,0.000590604,0.000372834,0.00357594,0.0141212,0.0222936,0.0141212,0.00357593,0.000372833,9.34629e-005,0.000896425,0.00353994,0.00558861,0.00353994,0.000896424,9.34627e-005,9.57753e-006,9.18604e-005,0.000362752,0.000572688,0.000362752,9.18602e-005,9.5775e-006,2.40092e-006,2.30278e-005,9.09356e-005,0.000143563,9.09355e-005,2.30277e-005,2.40091e-006,2.34295e-005,0.000224718,0.000887401,0.00140097,0.0008874,0.000224718,2.34295e-005,9.34629e-005,0.000896425,0.00353994,0.00558861,0.00353994,0.000896424,9.34627e-005,0.000148055,0.00142003,0.00560762,0.00885292,0.00560761,0.00142002,0.000148054,9.34629e-005,0.000896425,0.00353994,0.00558861,0.00353994,0.000896424,9.34627e-005,2.34295e-005,0.000224718,0.000887401,0.00140097,0.0008874,0.000224718,2.34295e-005,2.40092e-006,2.30278e-005,9.09356e-005,0.000143563,9.09355e-005,2.30277e-005,2.40091e-006,2.46032e-007,2.35975e-006,9.31855e-006,1.47115e-005,9.31854e-006,2.35975e-006,2.46031e-007,2.40092e-006,2.30278e-005,9.09356e-005,0.000143563,9.09355e-005,2.30277e-005,2.40091e-006,9.57753e-006,9.18604e-005,0.000362752,0.000572688,0.000362752,9.18602e-005,9.5775e-006,1.51718e-005,0.000145516,0.000574636,0.000907195,0.000574635,0.000145516,1.51717e-005,9.57753e-006,9.18604e-005,0.000362752,0.000572688,0.000362752,9.18602e-005,9.5775e-006,2.40092e-006,2.30278e-005,9.09356e-005,0.000143563,9.09355e-005,2.30277e-005,2.40091e-006,2.46032e-007,2.35975e-006,9.31855e-006,1.47115e-005,9.31854e-006,2.35975e-006,2.46031e-007
1,0.0956433,7.48851e-015,4.8107e-014,1.41362e-013,1.83792e-013,1.04327e-013,2.49767e-014,2.52985e-015,7.30771e-014,4.69455e-013,1.37949e-012,1.79355e-012,1.01808e-012,2.43737e-013,2.46877e-014,2.91513e-013,1.87271e-012,5.50295e-012,7.15467e-012,4.06125e-012,9.72293e-013,9.84819e-014,4.61785e-013,2.96656e-012,8.71722e-012,1.13337e-011,6.43342e-012,1.54021e-012,1.56005e-013,2.91513e-013,1.87271e-012,5.50295e-012,7.15467e-012,4.06125e-012,9.72293e-013,9.84819e-014,7.30771e-014,4.69455e-013,1.37949e-012,1.79355e-012,1.01808e-012,2.43737e-013,2.46877e-014,7.48851e-015,4.8107e-014,1.41362e-013,1.83792e-013,1.04327e-013,2.49767e-014,2.52985e-015,7.30771e-014,4.69455e-013,1.37949e-012,1.79355e-012,1.01808e-012,2.43737e-013,2.46877e-014,7.13128e-013,4.58121e-012,1.34619e-011,1.75025e-011,9.93503e-012,2.37852e-012,2.40916e-013,2.84475e-012,1.82749e-011,5.37009e-011,6.98193e-011,3.96319e-011,9.48818e-012,9.61041e-013,4.50636e-012,2.89493e-011,8.50675e-011,1.10601e-010,6.27809e-011,1.50302e-011,1.52239e-012,2.84475e-012,1.82749e-011,5.37009e-011,6.98193e-011,3.96319e-011,9.48818e-012,9.61041e-013,7.13128e-013,4.58121e-012,1.34619e-011,1.75025e-011,9.93503e-012,2.37852e-012,2.40916e-013,7.30771e-014,4.69455e-013,1.37949e-012,1.79355e-012,1.01808e-012,2.43737e-013,2.46877e-014,2.91513e-013,1.87271e-012,5.50295e-012,7.15467e-012,4.06125e-012,9.72293e-013,9.84819e-014,2.84475e-012,1.82749e-011,5.37009e-011,6.98193e-011,3.96319e-011,9.48818e-012,9.61041e-013,1.1348e-011,7.29007e-011,2.14219e-010,2.78517e-010,1.58096e-010,3.78494e-011,3.8337e-012,1.79764e-011,1.15482e-010,3.39344e-010,4.41198e-010,2.5044e-010,5.99572e-011,6.07296e-012,1.1348e-011,7.29007e-011,2.14219e-010,2.78517e-010,1.58096e-010,3.78494e-011,3.8337e-012,2.84475e-012,1.82749e-011,5.37009e-011,6.98193e-011,3.96319e-011,9.48818e-012,9.61041e-013,2.91513e-013,1.87271e-012,5.50295e-012,7.15467e-012,4.06125e-012,9.72293e-013,9.84819e-014,4.61785e-013,2.96656e-012,8.71722e-012,1.13337e-011,6.43342e-012,1.54021e-012,1.56005e-013,4.50636e-012,2.89493e-011,8.50675e-011,1.10601e-010,6.27809e-011,1.50302e-011,1.52239e-012,1.79764e-011,1.15482e-010,3.39344e-010,4.41198e-010,2.5044e-010,5.99572e-011,6.07296e-012,2.84764e-011,1.82935e-010,5.37554e-010,6.98902e-010,3.96722e-010,9.49782e-011,9.62018e-012,1.79764e-011,1.15482e-010,3.39344e-010,4.41198e-010,2.5044e-010,5.99572e-011,6.07296e-012,4.50636e-012,2.89493e-011,8.50675e-011,1.10601e-010,6.27809e-011,1.50302e-011,1.52239e-012,4.61785e-013,2.96656e-012,8.71722e-012,1.13337e-011,6.43342e-012,1.54021e-012,1.56005e-013,2.91513e-013,1.87271e-012,5.50295e-012,7.15467e-012,4.06125e-012,9.72293e-013,9.84819e-014,2.84475e-012,1.82749e-011,5.37009e-011,6.98193e-011,3.96319e-011,9.48818e-012,9.61041e-013,1.1348e-011,7.29007e-011,2.14219e-010,2.78517e-010,1.58096e-010,3.78494e-011,3.8337e-012,1.79764e-011,1.15482e-010,3.39344e-010,4.41198e-010,2.5044e-010,5.99572e-011,6.07296e-012,1.1348e-011,7.29007e-011,2.14219e-010,2.78517e-010,1.58096e-010,3.78494e-011,3.8337e-012,2.84475e-012,1.82749e-011,5.37009e-011,6.98193e-011,3.96319e-011,9.48818e-012,9.61041e-013,2.91513e-013,1.87271e-012,5.50295e-012,7.15467e-012,4.06125e-012,9.72293e-013,9.84819e-014,7.30771e-014,4.69455e-013,1.37949e-012,1.79355e-012,1.01808e-012,2.43737e-013,2.46877e-014,7.13128e-013,4.58121e-012,1.34619e-011,1.75025e-011,9.93503e-012,2.37852e-012,2.40916e-013,2.84475e-012,1.82749e-011,5.37009e-011,6.98193e-011,3.96319e-011,9.48818e-012,9.61041e-013,4.50636e-012,2.89493e-011,8.50675e-011,1.10601e-010,6.27809e-011,1.50302e-011,1.52239e-012,2.84475e-012,1.82749e-011,5.37009e-011,6.98193e-011,3.96319e-011,9.48818e-012,9.61041e-013,7.13128e-013,4.58121e-012,1.34619e-011,1.75025e-011,9.93503e-012,2.37852e-012,2.40916e-013,7.30771e-014,4.69455e-013,1.37949e-012,1.79355e-012,1.01808e-012,2.43737e-013,2.46877e-014,7.48851e-015,4.8107e-014,1.41362e-013,1.83792e-013,1.04327e-013,2.49767e-014,2.52985e-015,7.30771e-014,4.69455e-013,1.37949e-012,1.79355e-012,1.01808e-012,2.43737e-013,2.46877e-014,2.91513e-013,1.87271e-012,5.50295e-012,7.15467e-012,4.06125e-012,9.72293e-013,9.84819e-014,4.61785e-013,2.96656e-012,8.71722e-012,1.13337e-011,6.43342e-012,1.54021e-012,1.56005e-013,2.91513e-013,1.87271e-012,5.50295e-012,7.15467e-012,4.06125e-012,9.72293e-013,9.84819e-014,7.30771e-014,4.69455e-013,1.37949e-012,1.79355e-012,1.01808e-012,2.43737e-013,2.46877e-014,7.48851e-015,4.8107e-014,1.41362e-013,1.83792e-013,1.04327e-013,2.49767e-014,2.52985e-015
2,0.197004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
