gridnumber,capital,policy[0 0 00],policy[0 0 01],policy[0 0 02],policy[0 0 10],policy[0 0 11],policy[0 0 12],policy[0 0 20],policy[0 0 21],policy[0 0 22],policy[0 1 00],policy[0 1 01],policy[0 1 02],policy[0 1 10],policy[0 1 11],policy[0 1 12],policy[0 1 20],policy[0 1 21],policy[0 1 22],policy[0 2 00],policy[0 2 01],policy[0 2 02],policy[0 2 10],policy[0 2 11],policy[0 2 12],policy[0 2 20],policy[0 2 21],policy[0 2 22],policy[1 0 00],policy[1 0 01],policy[1 0 02],policy[1 0 10],policy[1 0 11],policy[1 0 12],policy[1 0 20],policy[1 0 21],policy[1 0 22],policy[1 1 00],policy[1 1 01],policy[1 1 02],policy[1 1 10],policy[1 1 11],policy[1 1 12],policy[1 1 20],policy[1 1 21],policy[1 1 22],policy[1 2 00],policy[1 2 01],policy[1 2 02],policy[1 2 10],policy[1 2 11],policy[1 2 12],policy[1 2 20],policy[1 2 21],policy[1 2 22],policy[2 0 00],policy[2 0 01],policy[2 0 02],policy[2 0 10],policy[2 0 11],policy[2 0 12],policy[2 0 20],policy[2 0 21],policy[2 0 22],policy[2 1 00],policy[2 1 01],policy[2 1 02],policy[2 1 10],policy[2 1 11],policy[2 1 12],policy[2 1 20],policy[2 1 21],policy[2 1 22],policy[2 2 00],policy[2 2 01],policy[2 2 02],policy[2 2 10],policy[2 2 11],policy[2 2 12],policy[2 2 20],policy[2 2 21],policy[2 2 22]
0,0,0,0,0,0.0104672,0.0104672,0.0104672,0.113814,0.113814,0.113814,0,0,0,0.0104672,0.0104672,0.0104672,0.113814,0.113814,0.113814,0,0,0,0.0104672,0.0104672,0.0104672,0.113814,0.113814,0.113814,0,0,0,0.0104672,0.0104672,0.0104672,0.113814,0.113814,0.113814,0,0,0,0.0104672,0.0104672,0.0104672,0.113814,0.113814,0.113814,0,0,0,0.0104672,0.0104672,0.0104672,0.113814,0.113814,0.113814,0,0,0,0.0104672,0.0104672,0.0104672,0.113814,0.113814,0.113814,0,0,0,0.0104672,0.0104672,0.0104672,0.113814,0.113814,0.113814,0,0,0,0.0104672,0.0104672,0.0104672,0.113814,0.113814,0.113814
1,0.0572595,0,0,0,0.0543662,0.0543662,0.0543662,0.160178,0.160178,0.160178,0,0,0,0.0543662,0.0543662,0.0543662,0.160178,0.160178,0.160178,0,0,0,0.0543662,0.0543662,0.0543662,0.160178,0.160178,0.160178,0,0,0,0.0547945,0.0547945,0.0547945,0.160633,0.160633,0.160633,0,0,0,0.0547945,0.0547945,0.0547945,0.160633,0.160633,0.160633,0,0,0,0.0547945,0.0547945,0.0547945,0.160633,0.160633,0.160633,0,0,0,0.0552228,0.0552228,0.0552228,0.161088,0.161088,0.161088,0,0,0,0.0552228,0.0552228,0.0552228,0.161088,0.161088,0.161088,0,0,0,0.0552228,0.0552228,0.0552228,0.161088,0.161088,0.161088
2,0.116568,0.0181764,0.0181764,0.0181764,0.0953902,0.0953902,0.0953902,0.208236,0.208236,0.208236,0.0181764,0.0181764,0.0181764,0.0953902,0.0953902,0.0953902,0.208236,0.208236,0.208236,0.0181764,0.0181764,0.0181764,0.0953902,0.0953902,0.0953902,0.208236,0.208236,0.208236,0.0190119,0.0190119,0.0190119,0.0961711,0.0961711,0.0961711,0.209154,0.209154,0.209154,0.0190119,0.0190119,0.0190119,0.0961711,0.0961711,0.0961711,0.209154,0.209154,0.209154,0.0190119,0.0190119,0.0190119,0.0961711,0.0961711,0.0961711,0.209154,0.209154,0.209154,0.0198474,0.0198474,0.0198474,0.0969519,0.0969519,0.0969519,0.210073,0.210073,0.210073,0.0198474,0.0198474,0.0198474,0.0969519,0.0969519,0.0969519,0.210073,0.210073,0.210073,0.0198474,0.0198474,0.0198474,0.0969519,0.0969519,0.0969519,0.210073,0.210073,0.210073
3,0.177999,0.0626001,0.0626001,0.0626001,0.140492,0.140492,0.140492,0.258302,0.258302,0.258302,0.0626001,0.0626001,0.0626001,0.140492,0.140492,0.140492,0.258302,0.258302,0.258302,0.0626001,0.0626001,0.0626001,0.140492,0.140492,0.140492,0.258302,0.258302,0.258302,0.0637264,0.0637264,0.0637264,0.14185,0.14185,0.14185,0.259743,0.259743,0.259743,0.0637264,0.0637264,0.0637264,0.14185,0.14185,0.14185,0.259743,0.259743,0.259743,0.0637264,0.0637264,0.0637264,0.14185,0.14185,0.14185,0.259743,0.259743,0.259743,0.0648528,0.0648528,0.0648528,0.143208,0.143208,0.143208,0.261185,0.261185,0.261185,0.0648528,0.0648528,0.0648528,0.143208,0.143208,0.143208,0.261185,0.261185,0.261185,0.0648528,0.0648528,0.0648528,0.143208,0.143208,0.143208,0.261185,0.261185,0.261185
4,0.241629,0.10387,0.10387,0.10387,0.190205,0.190205,0.190205,0.311173,0.311173,0.311173,0.10387,0.10387,0.10387,0.190205,0.190205,0.190205,0.311173,0.311173,0.311173,0.10387,0.10387,0.10387,0.190205,0.190205,0.190205,0.311173,0.311173,0.311173,0.105398,0.105398,0.105398,0.19204,0.19204,0.19204,0.313161,0.313161,0.313161,0.105398,0.105398,0.105398,0.19204,0.19204,0.19204,0.313161,0.313161,0.313161,0.105398,0.105398,0.105398,0.19204,0.19204,0.19204,0.313161,0.313161,0.313161,0.106927,0.106927,0.106927,0.193876,0.193876,0.193876,0.315149,0.315149,0.315149,0.106927,0.106927,0.106927,0.193876,0.193876,0.193876,0.315149,0.315149,0.315149,0.106927,0.106927,0.106927,0.193876,0.193876,0.193876,0.315149,0.315149,0.315149
5,0.307536,0.151381,0.151381,0.151381,0.241524,0.241524,0.241524,0.366753,0.366753,0.366753,0.151381,0.151381,0.151381,0.241524,0.241524,0.241524,0.366753,0.366753,0.366753,0.151381,0.151381,0.151381,0.241524,0.241524,0.241524,0.366753,0.366753,0.366753,0.153636,0.153636,0.153636,0.243986,0.243986,0.243986,0.369284,0.369284,0.369284,0.153636,0.153636,0.153636,0.243986,0.243986,0.243986,0.369284,0.369284,0.369284,0.153636,0.153636,0.153636,0.243986,0.243986,0.243986,0.369284,0.369284,0.369284,0.155891,0.155891,0.155891,0.246454,0.246454,0.246454,0.371814,0.371814,0.371814,0.155891,0.155891,0.155891,0.246454,0.246454,0.246454,0.371814,0.371814,0.371814,0.155891,0.155891,0.155891,0.246454,0.246454,0.246454,0.371814,0.371814,0.371814
6,0.375801,0.202705,0.202705,0.202705,0.297674,0.297674,0.297674,0.425378,0.425378,0.425378,0.202705,0.202705,0.202705,0.297674,0.297674,0.297674,0.425378,0.425378,0.425378,0.202705,0.202705,0.202705,0.297674,0.297674,0.297674,0.425378,0.425378,0.425378,0.205463,0.205463,0.205463,0.30069,0.30069,0.30069,0.428537,0.428537,0.428537,0.205463,0.205463,0.205463,0.30069,0.30069,0.30069,0.428537,0.428537,0.428537,0.205463,0.205463,0.205463,0.30069,0.30069,0.30069,0.428537,0.428537,0.428537,0.208221,0.208221,0.208221,0.303706,0.303706,0.303706,0.431696,0.431696,0.431696,0.208221,0.208221,0.208221,0.303706,0.303706,0.303706,0.431696,0.431696,0.431696,0.208221,0.208221,0.208221,0.303706,0.303706,0.303706,0.431696,0.431696,0.431696
7,0.44651,0.257116,0.257116,0.257116,0.356081,0.356081,0.356081,0.48677,0.48677,0.48677,0.257116,0.257116,0.257116,0.356081,0.356081,0.356081,0.48677,0.48677,0.48677,0.257116,0.257116,0.257116,0.356081,0.356081,0.356081,0.48677,0.48677,0.48677,0.260673,0.260673,0.260673,0.359682,0.359682,0.359682,0.490568,0.490568,0.490568,0.260673,0.260673,0.260673,0.359682,0.359682,0.359682,0.490568,0.490568,0.490568,0.260673,0.260673,0.260673,0.359682,0.359682,0.359682,0.490568,0.490568,0.490568,0.26423,0.26423,0.26423,0.363284,0.363284,0.363284,0.494365,0.494365,0.494365,0.26423,0.26423,0.26423,0.363284,0.363284,0.363284,0.494365,0.494365,0.494365,0.26423,0.26423,0.26423,0.363284,0.363284,0.363284,0.494365,0.494365,0.494365
8,0.519749,0.31688,0.31688,0.31688,0.417599,0.417599,0.417599,0.550774,0.550774,0.550774,0.31688,0.31688,0.31688,0.417599,0.417599,0.417599,0.550774,0.550774,0.550774,0.31688,0.31688,0.31688,0.417599,0.417599,0.417599,0.550774,0.550774,0.550774,0.321002,0.321002,0.321002,0.42189,0.42189,0.42189,0.555217,0.555217,0.555217,0.321002,0.321002,0.321002,0.42189,0.42189,0.42189,0.555217,0.555217,0.555217,0.321002,0.321002,0.321002,0.42189,0.42189,0.42189,0.555217,0.555217,0.555217,0.325123,0.325123,0.325123,0.426182,0.426182,0.426182,0.55966,0.55966,0.55966,0.325123,0.325123,0.325123,0.426182,0.426182,0.426182,0.55966,0.55966,0.55966,0.325123,0.325123,0.325123,0.426182,0.426182,0.426182,0.55966,0.55966,0.55966
9,0.595608,0.378605,0.378605,0.378605,0.482439,0.482439,0.482439,0.617392,0.617392,0.617392,0.378605,0.378605,0.378605,0.482439,0.482439,0.482439,0.617392,0.617392,0.617392,0.378605,0.378605,0.378605,0.482439,0.482439,0.482439,0.617392,0.617392,0.617392,0.38345,0.38345,0.38345,0.487445,0.487445,0.487445,0.622518,0.622518,0.622518,0.38345,0.38345,0.38345,0.487445,0.487445,0.487445,0.622518,0.622518,0.622518,0.38345,0.38345,0.38345,0.487445,0.487445,0.487445,0.622518,0.622518,0.622518,0.388295,0.388295,0.388295,0.492452,0.492452,0.492452,0.627645,0.627645,0.627645,0.388295,0.388295,0.388295,0.492452,0.492452,0.492452,0.627645,0.627645,0.627645,0.388295,0.388295,0.388295,0.492452,0.492452,0.492452,0.627645,0.627645,0.627645
10,0.674183,0.444121,0.444121,0.444121,0.550269,0.550269,0.550269,0.6868,0.6868,0.6868,0.444121,0.444121,0.444121,0.550269,0.550269,0.550269,0.6868,0.6868,0.6868,0.444121,0.444121,0.444121,0.550269,0.550269,0.550269,0.6868,0.6868,0.6868,0.449675,0.449675,0.449675,0.55596,0.55596,0.55596,0.692643,0.692643,0.692643,0.449675,0.449675,0.449675,0.55596,0.55596,0.55596,0.692643,0.692643,0.692643,0.449675,0.449675,0.449675,0.55596,0.55596,0.55596,0.692643,0.692643,0.692643,0.455282,0.455282,0.455282,0.561651,0.561651,0.561651,0.698486,0.698486,0.698486,0.455282,0.455282,0.455282,0.561651,0.561651,0.561651,0.698486,0.698486,0.698486,0.455282,0.455282,0.455282,0.561651,0.561651,0.561651,0.698486,0.698486,0.698486
11,0.75557,0.51345,0.51345,0.51345,0.620913,0.620913,0.620913,0.759113,0.759113,0.759113,0.51345,0.51345,0.51345,0.620913,0.620913,0.620913,0.759113,0.759113,0.759113,0.51345,0.51345,0.51345,0.620913,0.620913,0.620913,0.759113,0.759113,0.759113,0.519735,0.519735,0.519735,0.627347,0.627347,0.627347,0.76568,0.76568,0.76568,0.519735,0.519735,0.519735,0.627347,0.627347,0.627347,0.76568,0.76568,0.76568,0.519735,0.519735,0.519735,0.627347,0.627347,0.627347,0.76568,0.76568,0.76568,0.52604,0.52604,0.52604,0.633782,0.633782,0.633782,0.772248,0.772248,0.772248,0.52604,0.52604,0.52604,0.633782,0.633782,0.633782,0.772248,0.772248,0.772248,0.52604,0.52604,0.52604,0.633782,0.633782,0.633782,0.772248,0.772248,0.772248
12,0.839869,0.585538,0.585538,0.585538,0.694704,0.694704,0.694704,0.834218,0.834218,0.834218,0.585538,0.585538,0.585538,0.694704,0.694704,0.694704,0.834218,0.834218,0.834218,0.585538,0.585538,0.585538,0.694704,0.694704,0.694704,0.834218,0.834218,0.834218,0.592547,0.592547,0.592547,0.70193,0.70193,0.70193,0.841523,0.841523,0.841523,0.592547,0.592547,0.592547,0.70193,0.70193,0.70193,0.841523,0.841523,0.841523,0.592547,0.592547,0.592547,0.70193,0.70193,0.70193,0.841523,0.841523,0.841523,0.599601,0.599601,0.599601,0.709155,0.709155,0.709155,0.848842,0.848842,0.848842,0.599601,0.599601,0.599601,0.709155,0.709155,0.709155,0.848842,0.848842,0.848842,0.599601,0.599601,0.599601,0.709155,0.709155,0.709155,0.848842,0.848842,0.848842
13,0.927185,0.660951,0.660951,0.660951,0.771779,0.771779,0.771779,0.912203,0.912203,0.912203,0.660951,0.660951,0.660951,0.771779,0.771779,0.771779,0.912203,0.912203,0.912203,0.660951,0.660951,0.660951,0.771779,0.771779,0.771779,0.912203,0.912203,0.912203,0.668775,0.668775,0.668775,0.779794,0.779794,0.779794,0.920283,0.920283,0.920283,0.668775,0.668775,0.668775,0.779794,0.779794,0.779794,0.920283,0.920283,0.920283,0.668775,0.668775,0.668775,0.779794,0.779794,0.779794,0.920283,0.920283,0.920283,0.676629,0.676629,0.676629,0.78781,0.78781,0.78781,0.928371,0.928371,0.928371,0.676629,0.676629,0.676629,0.78781,0.78781,0.78781,0.928371,0.928371,0.928371,0.676629,0.676629,0.676629,0.78781,0.78781,0.78781,0.928371,0.928371,0.928371
14,1.01763,0.739968,0.739968,0.739968,0.851972,0.851972,0.851972,0.993386,0.993386,0.993386,0.739968,0.739968,0.739968,0.851972,0.851972,0.851972,0.993386,0.993386,0.993386,0.739968,0.739968,0.739968,0.851972,0.851972,0.851972,0.993386,0.993386,0.993386,0.748659,0.748659,0.748659,0.860807,0.860807,0.860807,1.00231,1.00231,1.00231,0.748659,0.748659,0.748659,0.860807,0.860807,0.860807,1.00231,1.00231,1.00231,0.748659,0.748659,0.748659,0.860807,0.860807,0.860807,1.00231,1.00231,1.00231,0.75736,0.75736,0.75736,0.869642,0.869642,0.869642,1.01123,1.01123,1.01123,0.75736,0.75736,0.75736,0.869642,0.869642,0.869642,1.01123,1.01123,1.01123,0.75736,0.75736,0.75736,0.869642,0.869642,0.869642,1.01123,1.01123,1.01123
15,1.1113,0.822309,0.822309,0.822309,0.935381,0.935381,0.935381,1.07792,1.07792,1.07792,0.822309,0.822309,0.822309,0.935381,0.935381,0.935381,1.07792,1.07792,1.07792,0.822309,0.822309,0.822309,0.935381,0.935381,0.935381,1.07792,1.07792,1.07792,0.831848,0.831848,0.831848,0.945082,0.945082,0.945082,1.08772,1.08772,1.08772,0.831848,0.831848,0.831848,0.945082,0.945082,0.945082,1.08772,1.08772,1.08772,0.831848,0.831848,0.831848,0.945082,0.945082,0.945082,1.08772,1.08772,1.08772,0.841398,0.841398,0.841398,0.954784,0.954784,0.954784,1.09752,1.09752,1.09752,0.841398,0.841398,0.841398,0.954784,0.954784,0.954784,1.09752,1.09752,1.09752,0.841398,0.841398,0.841398,0.954784,0.954784,0.954784,1.09752,1.09752,1.09752
16,1.20833,0.908159,0.908159,0.908159,1.02223,1.02223,1.02223,1.16584,1.16584,1.16584,0.908159,0.908159,0.908159,1.02223,1.02223,1.02223,1.16584,1.16584,1.16584,0.908159,0.908159,0.908159,1.02223,1.02223,1.02223,1.16584,1.16584,1.16584,0.918604,0.918604,0.918604,1.03284,1.03284,1.03284,1.17654,1.17654,1.17654,0.918604,0.918604,0.918604,1.03284,1.03284,1.03284,1.17654,1.17654,1.17654,0.918604,0.918604,0.918604,1.03284,1.03284,1.03284,1.17654,1.17654,1.17654,0.929062,0.929062,0.929062,1.04344,1.04344,1.04344,1.18724,1.18724,1.18724,0.929062,0.929062,0.929062,1.04344,1.04344,1.04344,1.18724,1.18724,1.18724,0.929062,0.929062,0.929062,1.04344,1.04344,1.04344,1.18724,1.18724,1.18724
17,1.30884,0.997675,0.997675,0.997675,1.11266,1.11266,1.11266,1.25722,1.25722,1.25722,0.997675,0.997675,0.997675,1.11266,1.11266,1.11266,1.25722,1.25722,1.25722,0.997675,0.997675,0.997675,1.11266,1.11266,1.11266,1.25722,1.25722,1.25722,1.00906,1.00906,1.00906,1.1242,1.1242,1.1242,1.26884,1.26884,1.26884,1.00906,1.00906,1.00906,1.1242,1.1242,1.1242,1.26884,1.26884,1.26884,1.00906,1.00906,1.00906,1.1242,1.1242,1.1242,1.26884,1.26884,1.26884,1.02047,1.02047,1.02047,1.13574,1.13574,1.13574,1.28047,1.28047,1.28047,1.02047,1.02047,1.02047,1.13574,1.13574,1.13574,1.28047,1.28047,1.28047,1.02047,1.02047,1.02047,1.13574,1.13574,1.13574,1.28047,1.28047,1.28047
18,1.41294,1.09086,1.09086,1.09086,1.20674,1.20674,1.20674,1.35214,1.35214,1.35214,1.09086,1.09086,1.09086,1.20674,1.20674,1.20674,1.35214,1.35214,1.35214,1.09086,1.09086,1.09086,1.20674,1.20674,1.20674,1.35214,1.35214,1.35214,1.10321,1.10321,1.10321,1.21924,1.21924,1.21924,1.36473,1.36473,1.36473,1.10321,1.10321,1.10321,1.21924,1.21924,1.21924,1.36473,1.36473,1.36473,1.10321,1.10321,1.10321,1.21924,1.21924,1.21924,1.36473,1.36473,1.36473,1.11559,1.11559,1.11559,1.23175,1.23175,1.23175,1.37732,1.37732,1.37732,1.11559,1.11559,1.11559,1.23175,1.23175,1.23175,1.37732,1.37732,1.37732,1.11559,1.11559,1.11559,1.23175,1.23175,1.23175,1.37732,1.37732,1.37732
19,1.52076,1.18785,1.18785,1.18785,1.30458,1.30458,1.30458,1.45073,1.45073,1.45073,1.18785,1.18785,1.18785,1.30458,1.30458,1.30458,1.45073,1.45073,1.45073,1.18785,1.18785,1.18785,1.30458,1.30458,1.30458,1.45073,1.45073,1.45073,1.20121,1.20121,1.20121,1.31808,1.31808,1.31808,1.46433,1.46433,1.46433,1.20121,1.20121,1.20121,1.31808,1.31808,1.31808,1.46433,1.46433,1.46433,1.20121,1.20121,1.20121,1.31808,1.31808,1.31808,1.46433,1.46433,1.46433,1.21459,1.21459,1.21459,1.33159,1.33159,1.33159,1.47792,1.47792,1.47792,1.21459,1.21459,1.21459,1.33159,1.33159,1.33159,1.47792,1.47792,1.47792,1.21459,1.21459,1.21459,1.33159,1.33159,1.33159,1.47792,1.47792,1.47792
20,1.63244,1.28878,1.28878,1.28878,1.40626,1.40626,1.40626,1.55315,1.55315,1.55315,1.28878,1.28878,1.28878,1.40626,1.40626,1.40626,1.55315,1.55315,1.55315,1.28878,1.28878,1.28878,1.40626,1.40626,1.40626,1.55315,1.55315,1.55315,1.30319,1.30319,1.30319,1.42079,1.42079,1.42079,1.56779,1.56779,1.56779,1.30319,1.30319,1.30319,1.42079,1.42079,1.42079,1.56779,1.56779,1.56779,1.30319,1.30319,1.30319,1.42079,1.42079,1.42079,1.56779,1.56779,1.56779,1.31762,1.31762,1.31762,1.43534,1.43534,1.43534,1.58242,1.58242,1.58242,1.31762,1.31762,1.31762,1.43534,1.43534,1.43534,1.58242,1.58242,1.58242,1.31762,1.31762,1.31762,1.43534,1.43534,1.43534,1.58242,1.58242,1.58242
21,1.74812,1.39373,1.39373,1.39373,1.51193,1.51193,1.51193,1.65951,1.65951,1.65951,1.39373,1.39373,1.39373,1.51193,1.51193,1.51193,1.65951,1.65951,1.65951,1.39373,1.39373,1.39373,1.51193,1.51193,1.51193,1.65951,1.65951,1.65951,1.40922,1.40922,1.40922,1.52753,1.52753,1.52753,1.67522,1.67522,1.67522,1.40922,1.40922,1.40922,1.52753,1.52753,1.52753,1.67522,1.67522,1.67522,1.40922,1.40922,1.40922,1.52753,1.52753,1.52753,1.67522,1.67522,1.67522,1.42474,1.42474,1.42474,1.54316,1.54316,1.54316,1.69093,1.69093,1.69093,1.42474,1.42474,1.42474,1.54316,1.54316,1.54316,1.69093,1.69093,1.69093,1.42474,1.42474,1.42474,1.54316,1.54316,1.54316,1.69093,1.69093,1.69093
22,1.86794,1.50284,1.50284,1.50284,1.62171,1.62171,1.62171,1.76994,1.76994,1.76994,1.50284,1.50284,1.50284,1.62171,1.62171,1.62171,1.76994,1.76994,1.76994,1.50284,1.50284,1.50284,1.62171,1.62171,1.62171,1.76994,1.76994,1.76994,1.51945,1.51945,1.51945,1.63842,1.63842,1.63842,1.78677,1.78677,1.78677,1.51945,1.51945,1.51945,1.63842,1.63842,1.63842,1.78677,1.78677,1.78677,1.51945,1.51945,1.51945,1.63842,1.63842,1.63842,1.78677,1.78677,1.78677,1.5361,1.5361,1.5361,1.65517,1.65517,1.65517,1.80359,1.80359,1.80359,1.5361,1.5361,1.5361,1.65517,1.65517,1.65517,1.80359,1.80359,1.80359,1.5361,1.5361,1.5361,1.65517,1.65517,1.65517,1.80359,1.80359,1.80359
23,1.99205,1.61625,1.61625,1.61625,1.73573,1.73573,1.73573,1.88457,1.88457,1.88457,1.61625,1.61625,1.61625,1.73573,1.73573,1.73573,1.88457,1.88457,1.88457,1.61625,1.61625,1.61625,1.73573,1.73573,1.73573,1.88457,1.88457,1.88457,1.63402,1.63402,1.63402,1.7536,1.7536,1.7536,1.90255,1.90255,1.90255,1.63402,1.63402,1.63402,1.7536,1.7536,1.7536,1.90255,1.90255,1.90255,1.63402,1.63402,1.63402,1.7536,1.7536,1.7536,1.90255,1.90255,1.90255,1.65184,1.65184,1.65184,1.77151,1.77151,1.77151,1.92054,1.92054,1.92054,1.65184,1.65184,1.65184,1.77151,1.77151,1.77151,1.92054,1.92054,1.92054,1.65184,1.65184,1.65184,1.77151,1.77151,1.77151,1.92054,1.92054,1.92054
24,2.1206,1.73408,1.73408,1.73408,1.85413,1.85413,1.85413,2.00355,2.00355,2.00355,1.73408,1.73408,1.73408,1.85413,1.85413,1.85413,2.00355,2.00355,2.00355,1.73408,1.73408,1.73408,1.85413,1.85413,1.85413,2.00355,2.00355,2.00355,1.75306,1.75306,1.75306,1.87321,1.87321,1.87321,2.02273,2.02273,2.02273,1.75306,1.75306,1.75306,1.87321,1.87321,1.87321,2.02273,2.02273,2.02273,1.75306,1.75306,1.75306,1.87321,1.87321,1.87321,2.02273,2.02273,2.02273,1.77208,1.77208,1.77208,1.89231,1.89231,1.89231,2.04191,2.04191,2.04191,1.77208,1.77208,1.77208,1.89231,1.89231,1.89231,2.04191,2.04191,2.04191,1.77208,1.77208,1.77208,1.89231,1.89231,1.89231,2.04191,2.04191,2.04191
25,2.25375,1.85646,1.85646,1.85646,1.97707,1.97707,1.97707,2.12702,2.12702,2.12702,1.85646,1.85646,1.85646,1.97707,1.97707,1.97707,2.12702,2.12702,2.12702,1.85646,1.85646,1.85646,1.97707,1.97707,1.97707,2.12702,2.12702,2.12702,1.8767,1.8767,1.8767,1.99739,1.99739,1.99739,2.14745,2.14745,2.14745,1.8767,1.8767,1.8767,1.99739,1.99739,1.99739,2.14745,2.14745,2.14745,1.8767,1.8767,1.8767,1.99739,1.99739,1.99739,2.14745,2.14745,2.14745,1.89696,1.89696,1.89696,2.01774,2.01774,2.01774,2.16788,2.16788,2.16788,1.89696,1.89696,1.89696,2.01774,2.01774,2.01774,2.16788,2.16788,2.16788,1.89696,1.89696,1.89696,2.01774,2.01774,2.01774,2.16788,2.16788,2.16788
26,2.39167,1.98354,1.98354,1.98354,2.10469,2.10469,2.10469,2.25515,2.25515,2.25515,1.98354,1.98354,1.98354,2.10469,2.10469,2.10469,2.25515,2.25515,2.25515,1.98354,1.98354,1.98354,2.10469,2.10469,2.10469,2.25515,2.25515,2.25515,2.00508,2.00508,2.00508,2.1263,2.1263,2.1263,2.27686,2.27686,2.27686,2.00508,2.00508,2.00508,2.1263,2.1263,2.1263,2.27686,2.27686,2.27686,2.00508,2.00508,2.00508,2.1263,2.1263,2.1263,2.27686,2.27686,2.27686,2.02664,2.02664,2.02664,2.14795,2.14795,2.14795,2.29858,2.29858,2.29858,2.02664,2.02664,2.02664,2.14795,2.14795,2.14795,2.29858,2.29858,2.29858,2.02664,2.02664,2.02664,2.14795,2.14795,2.14795,2.29858,2.29858,2.29858
