gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0468873,0.0461474,0.0461474,0.0461474,0.0461474,0.0461474,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473
2,0.0951487,0.087868,0.087868,0.087868,0.087868,0.087868,0.0878597,0.0878597,0.0878597,0.0878597,0.0878597,0.0878529,0.0878529,0.0878529,0.0878529,0.0878529,0.0878479,0.0878479,0.0878479,0.0878479,0.0878479,0.0878445,0.0878445,0.0878445,0.0878445,0.0878445
3,0.144824,0.127817,0.127817,0.127817,0.127817,0.127817,0.127766,0.127766,0.127766,0.127766,0.127766,0.127723,0.127723,0.127723,0.127723,0.127723,0.12769,0.12769,0.12769,0.12769,0.12769,0.127667,0.127667,0.127667,0.127667,0.127667
4,0.195956,0.166752,0.166752,0.166752,0.166752,0.166752,0.166605,0.166605,0.166605,0.166605,0.166605,0.166478,0.166478,0.166478,0.166478,0.166478,0.16638,0.16638,0.16638,0.16638,0.16638,0.166309,0.166309,0.166309,0.166309,0.166309
5,0.248585,0.205131,0.205131,0.205131,0.205131,0.205131,0.204826,0.204826,0.204826,0.204826,0.204826,0.20456,0.20456,0.20456,0.20456,0.20456,0.204352,0.204352,0.204352,0.204352,0.204352,0.204198,0.204198,0.204198,0.204198,0.204198
6,0.302757,0.243015,0.243015,0.243015,0.243015,0.243015,0.242431,0.242431,0.242431,0.242431,0.242431,0.241914,0.241914,0.241914,0.241914,0.241914,0.241503,0.241503,0.241503,0.241503,0.241503,0.241194,0.241194,0.241194,0.241194,0.241194
7,0.358517,0.280625,0.280625,0.280625,0.280625,0.280625,0.279661,0.279661,0.279661,0.279661,0.279661,0.278785,0.278785,0.278785,0.278785,0.278785,0.278072,0.278072,0.278072,0.278072,0.278072,0.277529,0.277529,0.277529,0.277529,0.277529
8,0.41591,0.318605,0.318605,0.318605,0.318605,0.318605,0.317182,0.317182,0.317182,0.317182,0.317182,0.315868,0.315868,0.315868,0.315868,0.315868,0.314782,0.314782,0.314782,0.314782,0.314782,0.313946,0.313946,0.313946,0.313946,0.313946
9,0.474986,0.357007,0.357007,0.357007,0.357007,0.357007,0.354988,0.354988,0.354988,0.354988,0.354988,0.353087,0.353087,0.353087,0.353087,0.353087,0.351477,0.351477,0.351477,0.351477,0.351477,0.350212,0.350212,0.350212,0.350212,0.350212
10,0.535792,0.395805,0.395805,0.395805,0.395805,0.395805,0.393042,0.393042,0.393042,0.393042,0.393042,0.390434,0.390434,0.390434,0.390434,0.390434,0.388209,0.388209,0.388209,0.388209,0.388209,0.38644,0.38644,0.38644,0.38644,0.38644
11,0.598381,0.435562,0.435562,0.435562,0.435562,0.435562,0.431926,0.431926,0.431926,0.431926,0.431926,0.428487,0.428487,0.428487,0.428487,0.428487,0.425547,0.425547,0.425547,0.425547,0.425547,0.423201,0.423201,0.423201,0.423201,0.423201
12,0.662804,0.476331,0.476331,0.476331,0.476331,0.476331,0.471666,0.471666,0.471666,0.471666,0.471666,0.467194,0.467194,0.467194,0.467194,0.467194,0.463326,0.463326,0.463326,0.463326,0.463326,0.460208,0.460208,0.460208,0.460208,0.460208
13,0.729114,0.518314,0.518314,0.518314,0.518314,0.518314,0.512557,0.512557,0.512557,0.512557,0.512557,0.506921,0.506921,0.506921,0.506921,0.506921,0.501977,0.501977,0.501977,0.501977,0.501977,0.49796,0.49796,0.49796,0.49796,0.49796
14,0.797368,0.56157,0.56157,0.56157,0.56157,0.56157,0.554674,0.554674,0.554674,0.554674,0.554674,0.547781,0.547781,0.547781,0.547781,0.547781,0.541634,0.541634,0.541634,0.541634,0.541634,0.536591,0.536591,0.536591,0.536591,0.536591
15,0.867622,0.606158,0.606158,0.606158,0.606158,0.606158,0.598062,0.598062,0.598062,0.598062,0.598062,0.589832,0.589832,0.589832,0.589832,0.589832,0.582321,0.582321,0.582321,0.582321,0.582321,0.576027,0.576027,0.576027,0.576027,0.576027
16,0.939934,0.652228,0.652228,0.652228,0.652228,0.652228,0.642826,0.642826,0.642826,0.642826,0.642826,0.633161,0.633161,0.633161,0.633161,0.633161,0.624206,0.624206,0.624206,0.624206,0.624206,0.616597,0.616597,0.616597,0.616597,0.616597
17,1.01437,0.700085,0.700085,0.700085,0.700085,0.700085,0.689153,0.689153,0.689153,0.689153,0.689153,0.677899,0.677899,0.677899,0.677899,0.677899,0.66736,0.66736,0.66736,0.66736,0.66736,0.65833,0.65833,0.65833,0.65833,0.65833
18,1.09098,0.749843,0.749843,0.749843,0.749843,0.749843,0.737199,0.737199,0.737199,0.737199,0.737199,0.724208,0.724208,0.724208,0.724208,0.724208,0.712116,0.712116,0.712116,0.712116,0.712116,0.70156,0.70156,0.70156,0.70156,0.70156
19,1.16984,0.801664,0.801664,0.801664,0.801664,0.801664,0.787497,0.787497,0.787497,0.787497,0.787497,0.772715,0.772715,0.772715,0.772715,0.772715,0.758668,0.758668,0.758668,0.758668,0.758668,0.746325,0.746325,0.746325,0.746325,0.746325
20,1.25101,0.855693,0.855693,0.855693,0.855693,0.855693,0.83999,0.83999,0.83999,0.83999,0.83999,0.823235,0.823235,0.823235,0.823235,0.823235,0.807067,0.807067,0.807067,0.807067,0.807067,0.792794,0.792794,0.792794,0.792794,0.792794
21,1.33455,0.911802,0.911802,0.911802,0.911802,0.911802,0.894537,0.894537,0.894537,0.894537,0.894537,0.875847,0.875847,0.875847,0.875847,0.875847,0.857683,0.857683,0.857683,0.857683,0.857683,0.84148,0.84148,0.84148,0.84148,0.84148
22,1.42055,0.96996,0.96996,0.96996,0.96996,0.96996,0.951194,0.951194,0.951194,0.951194,0.951194,0.930671,0.930671,0.930671,0.930671,0.930671,0.910522,0.910522,0.910522,0.910522,0.910522,0.89218,0.89218,0.89218,0.89218,0.89218
23,1.50907,1.03036,1.03036,1.03036,1.03036,1.03036,1.01012,1.01012,1.01012,1.01012,1.01012,0.987901,0.987901,0.987901,0.987901,0.987901,0.965544,0.965544,0.965544,0.965544,0.965544,0.945002,0.945002,0.945002,0.945002,0.945002
24,1.60018,1.09338,1.09338,1.09338,1.09338,1.09338,1.07188,1.07188,1.07188,1.07188,1.07188,1.04775,1.04775,1.04775,1.04775,1.04775,1.02296,1.02296,1.02296,1.02296,1.02296,1.0002,1.0002,1.0002,1.0002,1.0002
25,1.69396,1.15946,1.15946,1.15946,1.15946,1.15946,1.13635,1.13635,1.13635,1.13635,1.13635,1.11033,1.11033,1.11033,1.11033,1.11033,1.08349,1.08349,1.08349,1.08349,1.08349,1.05837,1.05837,1.05837,1.05837,1.05837
26,1.79048,1.22812,1.22812,1.22812,1.22812,1.22812,1.20348,1.20348,1.20348,1.20348,1.20348,1.17562,1.17562,1.17562,1.17562,1.17562,1.14696,1.14696,1.14696,1.14696,1.14696,1.11946,1.11946,1.11946,1.11946,1.11946
27,1.88984,1.29955,1.29955,1.29955,1.29955,1.29955,1.27337,1.27337,1.27337,1.27337,1.27337,1.24357,1.24357,1.24357,1.24357,1.24357,1.21295,1.21295,1.21295,1.21295,1.21295,1.18342,1.18342,1.18342,1.18342,1.18342
28,1.99211,1.37386,1.37386,1.37386,1.37386,1.37386,1.34636,1.34636,1.34636,1.34636,1.34636,1.31488,1.31488,1.31488,1.31488,1.31488,1.2819,1.2819,1.2819,1.2819,1.2819,1.24985,1.24985,1.24985,1.24985,1.24985
29,2.09737,1.45104,1.45104,1.45104,1.45104,1.45104,1.4225,1.4225,1.4225,1.4225,1.4225,1.38963,1.38963,1.38963,1.38963,1.38963,1.3544,1.3544,1.3544,1.3544,1.3544,1.32012,1.32012,1.32012,1.32012,1.32012
30,2.20572,1.53112,1.53112,1.53112,1.53112,1.53112,1.50158,1.50158,1.50158,1.50158,1.50158,1.46748,1.46748,1.46748,1.46748,1.46748,1.43064,1.43064,1.43064,1.43064,1.43064,1.39429,1.39429,1.39429,1.39429,1.39429
31,2.31725,1.61422,1.61422,1.61422,1.61422,1.61422,1.58361,1.58361,1.58361,1.58361,1.58361,1.54827,1.54827,1.54827,1.54827,1.54827,1.50994,1.50994,1.50994,1.50994,1.50994,1.47175,1.47175,1.47175,1.47175,1.47175
32,2.43204,1.70073,1.70073,1.70073,1.70073,1.70073,1.66917,1.66917,1.66917,1.66917,1.66917,1.63233,1.63233,1.63233,1.63233,1.63233,1.59237,1.59237,1.59237,1.59237,1.59237,1.55256,1.55256,1.55256,1.55256,1.55256
33,2.5502,1.79087,1.79087,1.79087,1.79087,1.79087,1.7585,1.7585,1.7585,1.7585,1.7585,1.72029,1.72029,1.72029,1.72029,1.72029,1.6787,1.6787,1.6787,1.6787,1.6787,1.63707,1.63707,1.63707,1.63707,1.63707
34,2.67182,1.88433,1.88433,1.88433,1.88433,1.88433,1.85133,1.85133,1.85133,1.85133,1.85133,1.81219,1.81219,1.81219,1.81219,1.81219,1.76931,1.76931,1.76931,1.76931,1.76931,1.72569,1.72569,1.72569,1.72569,1.72569
35,2.797,1.98113,1.98113,1.98113,1.98113,1.98113,1.94755,1.94755,1.94755,1.94755,1.94755,1.90753,1.90753,1.90753,1.90753,1.90753,1.86354,1.86354,1.86354,1.86354,1.86354,1.8186,1.8186,1.8186,1.8186,1.8186
36,2.92586,2.08153,2.08153,2.08153,2.08153,2.08153,2.0473,2.0473,2.0473,2.0473,2.0473,2.00653,2.00653,2.00653,2.00653,2.00653,1.96144,1.96144,1.96144,1.96144,1.96144,1.91533,1.91533,1.91533,1.91533,1.91533
37,3.05848,2.1857,2.1857,2.1857,2.1857,2.1857,2.15077,2.15077,2.15077,2.15077,2.15077,2.10938,2.10938,2.10938,2.10938,2.10938,2.06351,2.06351,2.06351,2.06351,2.06351,2.01599,2.01599,2.01599,2.01599,2.01599
38,3.195,2.29368,2.29368,2.29368,2.29368,2.29368,2.25818,2.25818,2.25818,2.25818,2.25818,2.21603,2.21603,2.21603,2.21603,2.21603,2.16959,2.16959,2.16959,2.16959,2.16959,2.12127,2.12127,2.12127,2.12127,2.12127
39,3.33551,2.40548,2.40548,2.40548,2.40548,2.40548,2.36965,2.36965,2.36965,2.36965,2.36965,2.32688,2.32688,2.32688,2.32688,2.32688,2.27968,2.27968,2.27968,2.27968,2.27968,2.23083,2.23083,2.23083,2.23083,2.23083
40,3.48015,2.5214,2.5214,2.5214,2.5214,2.5214,2.4853,2.4853,2.4853,2.4853,2.4853,2.44211,2.44211,2.44211,2.44211,2.44211,2.39413,2.39413,2.39413,2.39413,2.39413,2.34446,2.34446,2.34446,2.34446,2.34446
41,3.62902,2.64163,2.64163,2.64163,2.64163,2.64163,2.60521,2.60521,2.60521,2.60521,2.60521,2.56171,2.56171,2.56171,2.56171,2.56171,2.51316,2.51316,2.51316,2.51316,2.51316,2.46257,2.46257,2.46257,2.46257,2.46257
42,3.78225,2.76603,2.76603,2.76603,2.76603,2.76603,2.72935,2.72935,2.72935,2.72935,2.72935,2.68552,2.68552,2.68552,2.68552,2.68552,2.63669,2.63669,2.63669,2.63669,2.63669,2.58567,2.58567,2.58567,2.58567,2.58567
43,3.93998,2.89451,2.89451,2.89451,2.89451,2.89451,2.85769,2.85769,2.85769,2.85769,2.85769,2.81364,2.81364,2.81364,2.81364,2.81364,2.76453,2.76453,2.76453,2.76453,2.76453,2.71344,2.71344,2.71344,2.71344,2.71344
44,4.10232,3.02735,3.02735,3.02735,3.02735,3.02735,2.99036,2.99036,2.99036,2.99036,2.99036,2.94613,2.94613,2.94613,2.94613,2.94613,2.89676,2.89676,2.89676,2.89676,2.89676,2.84541,2.84541,2.84541,2.84541,2.84541
45,4.26943,3.16499,3.16499,3.16499,3.16499,3.16499,3.12783,3.12783,3.12783,3.12783,3.12783,3.08339,3.08339,3.08339,3.08339,3.08339,3.03382,3.03382,3.03382,3.03382,3.03382,2.98221,2.98221,2.98221,2.98221,2.98221
46,4.44143,3.30748,3.30748,3.30748,3.30748,3.30748,3.27033,3.27033,3.27033,3.27033,3.27033,3.2259,3.2259,3.2259,3.2259,3.2259,3.17618,3.17618,3.17618,3.17618,3.17618,3.12441,3.12441,3.12441,3.12441,3.12441
47,4.61847,3.45472,3.45472,3.45472,3.45472,3.45472,3.41758,3.41758,3.41758,3.41758,3.41758,3.37327,3.37327,3.37327,3.37327,3.37327,3.32358,3.32358,3.32358,3.32358,3.32358,3.2717,3.2717,3.2717,3.2717,3.2717
48,4.8007,3.60691,3.60691,3.60691,3.60691,3.60691,3.56968,3.56968,3.56968,3.56968,3.56968,3.5253,3.5253,3.5253,3.5253,3.5253,3.4756,3.4756,3.4756,3.4756,3.4756,3.4238,3.4238,3.4238,3.4238,3.4238
49,4.98827,3.76429,3.76429,3.76429,3.76429,3.76429,3.72699,3.72699,3.72699,3.72699,3.72699,3.6825,3.6825,3.6825,3.6825,3.6825,3.6327,3.6327,3.6327,3.6327,3.6327,3.58103,3.58103,3.58103,3.58103,3.58103
50,5.18134,3.92697,3.92697,3.92697,3.92697,3.92697,3.8897,3.8897,3.8897,3.8897,3.8897,3.84521,3.84521,3.84521,3.84521,3.84521,3.79539,3.79539,3.79539,3.79539,3.79539,3.74373,3.74373,3.74373,3.74373,3.74373
51,5.38006,4.09498,4.09498,4.09498,4.09498,4.09498,4.05781,4.05781,4.05781,4.05781,4.05781,4.01345,4.01345,4.01345,4.01345,4.01345,3.96379,3.96379,3.96379,3.96379,3.96379,3.91212,3.91212,3.91212,3.91212,3.91212
52,5.58461,4.26836,4.26836,4.26836,4.26836,4.26836,4.23138,4.23138,4.23138,4.23138,4.23138,4.18723,4.18723,4.18723,4.18723,4.18723,4.13777,4.13777,4.13777,4.13777,4.13777,4.08615,4.08615,4.08615,4.08615,4.08615
53,5.79515,4.44752,4.44752,4.44752,4.44752,4.44752,4.41072,4.41072,4.41072,4.41072,4.41072,4.36678,4.36678,4.36678,4.36678,4.36678,4.31752,4.31752,4.31752,4.31752,4.31752,4.26604,4.26604,4.26604,4.26604,4.26604
54,6.01186,4.63256,4.63256,4.63256,4.63256,4.63256,4.59588,4.59588,4.59588,4.59588,4.59588,4.55215,4.55215,4.55215,4.55215,4.55215,4.50317,4.50317,4.50317,4.50317,4.50317,4.4521,4.4521,4.4521,4.4521,4.4521
55,6.23493,4.82348,4.82348,4.82348,4.82348,4.82348,4.78691,4.78691,4.78691,4.78691,4.78691,4.74334,4.74334,4.74334,4.74334,4.74334,4.69454,4.69454,4.69454,4.69454,4.69454,4.64378,4.64378,4.64378,4.64378,4.64378
56,6.46452,5.02057,5.02057,5.02057,5.02057,5.02057,4.98417,4.98417,4.98417,4.98417,4.98417,4.94079,4.94079,4.94079,4.94079,4.94079,4.89212,4.89212,4.89212,4.89212,4.89212,4.84142,4.84142,4.84142,4.84142,4.84142
57,6.70085,5.22406,5.22406,5.22406,5.22406,5.22406,5.18785,5.18785,5.18785,5.18785,5.18785,5.14473,5.14473,5.14473,5.14473,5.14473,5.09638,5.09638,5.09638,5.09638,5.09638,5.04594,5.04594,5.04594,5.04594,5.04594
58,6.94411,5.43403,5.43403,5.43403,5.43403,5.43403,5.39797,5.39797,5.39797,5.39797,5.39797,5.35513,5.35513,5.35513,5.35513,5.35513,5.30722,5.30722,5.30722,5.30722,5.30722,5.25726,5.25726,5.25726,5.25726,5.25726
59,7.19449,5.65072,5.65072,5.65072,5.65072,5.65072,5.61485,5.61485,5.61485,5.61485,5.61485,5.57223,5.57223,5.57223,5.57223,5.57223,5.52466,5.52466,5.52466,5.52466,5.52466,5.47513,5.47513,5.47513,5.47513,5.47513
60,7.45221,5.87439,5.87439,5.87439,5.87439,5.87439,5.83873,5.83873,5.83873,5.83873,5.83873,5.79631,5.79631,5.79631,5.79631,5.79631,5.74898,5.74898,5.74898,5.74898,5.74898,5.69967,5.69967,5.69967,5.69967,5.69967
61,7.71748,6.10519,6.10519,6.10519,6.10519,6.10519,6.06973,6.06973,6.06973,6.06973,6.06973,6.0275,6.0275,6.0275,6.0275,6.0275,5.98031,5.98031,5.98031,5.98031,5.98031,5.93123,5.93123,5.93123,5.93123,5.93123
62,7.99052,6.34321,6.34321,6.34321,6.34321,6.34321,6.30789,6.30789,6.30789,6.30789,6.30789,6.26586,6.26586,6.26586,6.26586,6.26586,6.21889,6.21889,6.21889,6.21889,6.21889,6.17017,6.17017,6.17017,6.17017,6.17017
63,8.27157,6.58874,6.58874,6.58874,6.58874,6.58874,6.55356,6.55356,6.55356,6.55356,6.55356,6.51172,6.51172,6.51172,6.51172,6.51172,6.46502,6.46502,6.46502,6.46502,6.46502,6.4167,6.4167,6.4167,6.4167,6.4167
64,8.56085,6.84201,6.84201,6.84201,6.84201,6.84201,6.80701,6.80701,6.80701,6.80701,6.80701,6.76542,6.76542,6.76542,6.76542,6.76542,6.71896,6.71896,6.71896,6.71896,6.71896,6.6709,6.6709,6.6709,6.6709,6.6709
65,8.85861,7.10326,7.10326,7.10326,7.10326,7.10326,7.06847,7.06847,7.06847,7.06847,7.06847,7.02715,7.02715,7.02715,7.02715,7.02715,6.98097,6.98097,6.98097,6.98097,6.98097,6.93304,6.93304,6.93304,6.93304,6.93304
66,9.16509,7.37269,7.37269,7.37269,7.37269,7.37269,7.3381,7.3381,7.3381,7.3381,7.3381,7.29706,7.29706,7.29706,7.29706,7.29706,7.25121,7.25121,7.25121,7.25121,7.25121,7.2035,7.2035,7.2035,7.2035,7.2035
67,9.48056,7.65044,7.65044,7.65044,7.65044,7.65044,7.61602,7.61602,7.61602,7.61602,7.61602,7.57523,7.57523,7.57523,7.57523,7.57523,7.52974,7.52974,7.52974,7.52974,7.52974,7.4825,7.4825,7.4825,7.4825,7.4825
68,9.80527,7.93672,7.93672,7.93672,7.93672,7.93672,7.90249,7.90249,7.90249,7.90249,7.90249,7.86189,7.86189,7.86189,7.86189,7.86189,7.81669,7.81669,7.81669,7.81669,7.81669,7.7699,7.7699,7.7699,7.7699,7.7699
69,10.1395,8.23185,8.23185,8.23185,8.23185,8.23185,8.19782,8.19782,8.19782,8.19782,8.19782,8.15743,8.15743,8.15743,8.15743,8.15743,8.11242,8.11242,8.11242,8.11242,8.11242,8.06587,8.06587,8.06587,8.06587,8.06587
70,10.4835,8.53622,8.53622,8.53622,8.53622,8.53622,8.50237,8.50237,8.50237,8.50237,8.50237,8.46225,8.46225,8.46225,8.46225,8.46225,8.41751,8.41751,8.41751,8.41751,8.41751,8.3712,8.3712,8.3712,8.3712,8.3712
71,10.8376,8.85,8.85,8.85,8.85,8.85,8.81635,8.81635,8.81635,8.81635,8.81635,8.77649,8.77649,8.77649,8.77649,8.77649,8.73207,8.73207,8.73207,8.73207,8.73207,8.68611,8.68611,8.68611,8.68611,8.68611
72,11.2021,9.17347,9.17347,9.17347,9.17347,9.17347,9.14006,9.14006,9.14006,9.14006,9.14006,9.10046,9.10046,9.10046,9.10046,9.10046,9.0563,9.0563,9.0563,9.0563,9.0563,9.01056,9.01056,9.01056,9.01056,9.01056
73,11.5773,9.50689,9.50689,9.50689,9.50689,9.50689,9.47369,9.47369,9.47369,9.47369,9.47369,9.43438,9.43438,9.43438,9.43438,9.43438,9.39053,9.39053,9.39053,9.39053,9.39053,9.34511,9.34511,9.34511,9.34511,9.34511
74,11.9634,9.85046,9.85046,9.85046,9.85046,9.85046,9.81753,9.81753,9.81753,9.81753,9.81753,9.77848,9.77848,9.77848,9.77848,9.77848,9.73492,9.73492,9.73492,9.73492,9.73492,9.68982,9.68982,9.68982,9.68982,9.68982
75,12.3609,10.2044,10.2044,10.2044,10.2044,10.2044,10.1718,10.1718,10.1718,10.1718,10.1718,10.1331,10.1331,10.1331,10.1331,10.1331,10.0898,10.0898,10.0898,10.0898,10.0898,10.0449,10.0449,10.0449,10.0449,10.0449
76,12.77,10.5692,10.5692,10.5692,10.5692,10.5692,10.5368,10.5368,10.5368,10.5368,10.5368,10.4983,10.4983,10.4983,10.4983,10.4983,10.4554,10.4554,10.4554,10.4554,10.4554,10.4108,10.4108,10.4108,10.4108,10.4108
77,13.1911,10.9452,10.9452,10.9452,10.9452,10.9452,10.9128,10.9128,10.9128,10.9128,10.9128,10.8746,10.8746,10.8746,10.8746,10.8746,10.832,10.832,10.832,10.832,10.832,10.7878,10.7878,10.7878,10.7878,10.7878
78,13.6246,11.3326,11.3326,11.3326,11.3326,11.3326,11.3004,11.3004,11.3004,11.3004,11.3004,11.2622,11.2622,11.2622,11.2622,11.2622,11.2197,11.2197,11.2197,11.2197,11.2197,11.1758,11.1758,11.1758,11.1758,11.1758
79,14.0707,11.7317,11.7317,11.7317,11.7317,11.7317,11.6997,11.6997,11.6997,11.6997,11.6997,11.6616,11.6616,11.6616,11.6616,11.6616,11.6191,11.6191,11.6191,11.6191,11.6191,11.5752,11.5752,11.5752,11.5752,11.5752
80,14.5299,12.1431,12.1431,12.1431,12.1431,12.1431,12.1111,12.1111,12.1111,12.1111,12.1111,12.0732,12.0732,12.0732,12.0732,12.0732,12.0309,12.0309,12.0309,12.0309,12.0309,11.9871,11.9871,11.9871,11.9871,11.9871
81,15.0026,12.5669,12.5669,12.5669,12.5669,12.5669,12.5351,12.5351,12.5351,12.5351,12.5351,12.4973,12.4973,12.4973,12.4973,12.4973,12.4553,12.4553,12.4553,12.4553,12.4553,12.412,12.412,12.412,12.412,12.412
82,15.4891,13.0036,13.0036,13.0036,13.0036,13.0036,12.9719,12.9719,12.9719,12.9719,12.9719,12.9344,12.9344,12.9344,12.9344,12.9344,12.8927,12.8927,12.8927,12.8927,12.8927,12.8497,12.8497,12.8497,12.8497,12.8497
83,15.9899,13.4534,13.4534,13.4534,13.4534,13.4534,13.422,13.422,13.422,13.422,13.422,13.3847,13.3847,13.3847,13.3847,13.3847,13.3433,13.3433,13.3433,13.3433,13.3433,13.3006,13.3006,13.3006,13.3006,13.3006
84,16.5054,13.917,13.917,13.917,13.917,13.917,13.8857,13.8857,13.8857,13.8857,13.8857,13.8487,13.8487,13.8487,13.8487,13.8487,13.8075,13.8075,13.8075,13.8075,13.8075,13.765,13.765,13.765,13.765,13.765
85,17.036,14.3946,14.3946,14.3946,14.3946,14.3946,14.3635,14.3635,14.3635,14.3635,14.3635,14.3266,14.3266,14.3266,14.3266,14.3266,14.2856,14.2856,14.2856,14.2856,14.2856,14.2434,14.2434,14.2434,14.2434,14.2434
86,17.5821,14.8866,14.8866,14.8866,14.8866,14.8866,14.8556,14.8556,14.8556,14.8556,14.8556,14.8189,14.8189,14.8189,14.8189,14.8189,14.7781,14.7781,14.7781,14.7781,14.7781,14.7361,14.7361,14.7361,14.7361,14.7361
87,18.1442,15.3935,15.3935,15.3935,15.3935,15.3935,15.3626,15.3626,15.3626,15.3626,15.3626,15.3261,15.3261,15.3261,15.3261,15.3261,15.2855,15.2855,15.2855,15.2855,15.2855,15.2437,15.2437,15.2437,15.2437,15.2437
88,18.7228,15.9155,15.9155,15.9155,15.9155,15.9155,15.8848,15.8848,15.8848,15.8848,15.8848,15.8485,15.8485,15.8485,15.8485,15.8485,15.808,15.808,15.808,15.808,15.808,15.7664,15.7664,15.7664,15.7664,15.7664
89,19.3184,16.453,16.453,16.453,16.453,16.453,16.4226,16.4226,16.4226,16.4226,16.4226,16.3865,16.3865,16.3865,16.3865,16.3865,16.3463,16.3463,16.3463,16.3463,16.3463,16.3047,16.3047,16.3047,16.3047,16.3047
90,19.9314,17.0067,17.0067,17.0067,17.0067,17.0067,16.9764,16.9764,16.9764,16.9764,16.9764,16.9405,16.9405,16.9405,16.9405,16.9405,16.9005,16.9005,16.9005,16.9005,16.9005,16.8591,16.8591,16.8591,16.8591,16.8591
91,20.5623,17.577,17.577,17.577,17.577,17.577,17.5469,17.5469,17.5469,17.5469,17.5469,17.5111,17.5111,17.5111,17.5111,17.5111,17.4712,17.4712,17.4712,17.4712,17.4712,17.43,17.43,17.43,17.43,17.43
92,21.2118,18.1646,18.1646,18.1646,18.1646,18.1646,18.1345,18.1345,18.1345,18.1345,18.1345,18.0989,18.0989,18.0989,18.0989,18.0989,18.0591,18.0591,18.0591,18.0591,18.0591,18.018,18.018,18.018,18.018,18.018
93,21.8803,18.7696,18.7696,18.7696,18.7696,18.7696,18.7397,18.7397,18.7397,18.7397,18.7397,18.7042,18.7042,18.7042,18.7042,18.7042,18.6645,18.6645,18.6645,18.6645,18.6645,18.6236,18.6236,18.6236,18.6236,18.6236
94,22.5684,19.3925,19.3925,19.3925,19.3925,19.3925,19.3627,19.3627,19.3627,19.3627,19.3627,19.3275,19.3275,19.3275,19.3275,19.3275,19.2881,19.2881,19.2881,19.2881,19.2881,19.2475,19.2475,19.2475,19.2475,19.2475
95,23.2766,20.034,20.034,20.034,20.034,20.034,20.0044,20.0044,20.0044,20.0044,20.0044,19.9693,19.9693,19.9693,19.9693,19.9693,19.9303,19.9303,19.9303,19.9303,19.9303,19.8901,19.8901,19.8901,19.8901,19.8901
96,24.0056,20.6946,20.6946,20.6946,20.6946,20.6946,20.6651,20.6651,20.6651,20.6651,20.6651,20.6301,20.6301,20.6301,20.6301,20.6301,20.5913,20.5913,20.5913,20.5913,20.5913,20.5514,20.5514,20.5514,20.5514,20.5514
97,24.756,21.3751,21.3751,21.3751,21.3751,21.3751,21.3456,21.3456,21.3456,21.3456,21.3456,21.3107,21.3107,21.3107,21.3107,21.3107,21.2719,21.2719,21.2719,21.2719,21.2719,21.232,21.232,21.232,21.232,21.232
