gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[1 0],policy[1 1],policy[1 2],policy[2 0],policy[2 1],policy[2 2],policy[3 0],policy[3 1],policy[3 2],policy[4 0],policy[4 1],policy[4 2]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0468873,0.0461474,0.0461474,0.0461474,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473,0.0461473
2,0.0951487,0.087868,0.087868,0.087868,0.0878597,0.0878597,0.0878597,0.0878529,0.0878529,0.0878529,0.0878479,0.0878479,0.0878479,0.0878445,0.0878445,0.0878445
3,0.144824,0.127817,0.127817,0.127817,0.127766,0.127766,0.127766,0.127723,0.127723,0.127723,0.12769,0.12769,0.12769,0.127667,0.127667,0.127667
4,0.195956,0.166751,0.166751,0.166751,0.166605,0.166605,0.166605,0.166478,0.166478,0.166478,0.16638,0.16638,0.16638,0.166308,0.166308,0.166308
5,0.248585,0.205131,0.205131,0.205131,0.204825,0.204825,0.204825,0.204559,0.204559,0.204559,0.204351,0.204351,0.204351,0.204197,0.204197,0.204197
6,0.302757,0.243014,0.243014,0.243014,0.242429,0.242429,0.242429,0.241912,0.241912,0.241912,0.2415,0.2415,0.2415,0.241191,0.241191,0.241191
7,0.358517,0.280622,0.280622,0.280622,0.279657,0.279657,0.279657,0.27878,0.27878,0.27878,0.278066,0.278066,0.278066,0.277523,0.277523,0.277523
8,0.41591,0.318599,0.318599,0.318599,0.317175,0.317175,0.317175,0.31586,0.31586,0.31586,0.314773,0.314773,0.314773,0.313936,0.313936,0.313936
9,0.474986,0.356996,0.356996,0.356996,0.354976,0.354976,0.354976,0.353073,0.353073,0.353073,0.351462,0.351462,0.351462,0.350195,0.350195,0.350195
10,0.535792,0.395789,0.395789,0.395789,0.393023,0.393023,0.393023,0.390412,0.390412,0.390412,0.388185,0.388185,0.388185,0.386413,0.386413,0.386413
11,0.598381,0.435538,0.435538,0.435538,0.431899,0.431899,0.431899,0.428455,0.428455,0.428455,0.425512,0.425512,0.425512,0.423162,0.423162,0.423162
12,0.662804,0.476298,0.476298,0.476298,0.471628,0.471628,0.471628,0.46715,0.46715,0.46715,0.463276,0.463276,0.463276,0.460152,0.460152,0.460152
13,0.729114,0.518268,0.518268,0.518268,0.512505,0.512505,0.512505,0.50686,0.50686,0.50686,0.501908,0.501908,0.501908,0.497883,0.497883,0.497883
14,0.797368,0.561505,0.561505,0.561505,0.554603,0.554603,0.554603,0.5477,0.5477,0.5477,0.541542,0.541542,0.541542,0.536488,0.536488,0.536488
15,0.867622,0.606067,0.606067,0.606067,0.597967,0.597967,0.597967,0.589725,0.589725,0.589725,0.582198,0.582198,0.582198,0.575886,0.575886,0.575886
16,0.939934,0.652095,0.652095,0.652095,0.642688,0.642688,0.642688,0.633013,0.633013,0.633013,0.62404,0.62404,0.62404,0.61641,0.61641,0.61641
17,1.01437,0.699905,0.699905,0.699905,0.688965,0.688965,0.688965,0.677699,0.677699,0.677699,0.66714,0.66714,0.66714,0.658085,0.658085,0.658085
18,1.09098,0.749613,0.749613,0.749613,0.736949,0.736949,0.736949,0.723945,0.723945,0.723945,0.711828,0.711828,0.711828,0.701241,0.701241,0.701241
19,1.16984,0.80138,0.80138,0.80138,0.787182,0.787182,0.787182,0.772364,0.772364,0.772364,0.758287,0.758287,0.758287,0.745914,0.745914,0.745914
20,1.25101,0.855325,0.855325,0.855325,0.83958,0.83958,0.83958,0.82278,0.82278,0.82278,0.806572,0.806572,0.806572,0.792277,0.792277,0.792277
21,1.33455,0.911263,0.911263,0.911263,0.893997,0.893997,0.893997,0.875274,0.875274,0.875274,0.857069,0.857069,0.857069,0.840822,0.840822,0.840822
22,1.42055,0.969232,0.969232,0.969232,0.950488,0.950488,0.950488,0.929962,0.929962,0.929962,0.909764,0.909764,0.909764,0.891362,0.891362,0.891362
23,1.50907,1.02945,1.02945,1.02945,1.00926,1.00926,1.00926,0.987038,0.987038,0.987038,0.96462,0.96462,0.96462,0.944009,0.944009,0.944009
24,1.60018,1.09233,1.09233,1.09233,1.07087,1.07087,1.07087,1.0467,1.0467,1.0467,1.02184,1.02184,1.02184,0.999012,0.999012,0.999012
25,1.69396,1.15813,1.15813,1.15813,1.13504,1.13504,1.13504,1.10903,1.10903,1.10903,1.08216,1.08216,1.08216,1.05692,1.05692,1.05692
26,1.79048,1.2265,1.2265,1.2265,1.20182,1.20182,1.20182,1.17392,1.17392,1.17392,1.14526,1.14526,1.14526,1.11769,1.11769,1.11769
27,1.88984,1.29767,1.29767,1.29767,1.27139,1.27139,1.27139,1.2415,1.2415,1.2415,1.21083,1.21083,1.21083,1.18126,1.18126,1.18126
28,1.99211,1.37164,1.37164,1.37164,1.34409,1.34409,1.34409,1.31252,1.31252,1.31252,1.27935,1.27935,1.27935,1.24724,1.24724,1.24724
29,2.09737,1.44833,1.44833,1.44833,1.41976,1.41976,1.41976,1.38684,1.38684,1.38684,1.35144,1.35144,1.35144,1.31703,1.31703,1.31703
30,2.20572,1.52783,1.52783,1.52783,1.49822,1.49822,1.49822,1.46411,1.46411,1.46411,1.42722,1.42722,1.42722,1.39069,1.39069,1.39069
31,2.31725,1.61049,1.61049,1.61049,1.57978,1.57978,1.57978,1.5443,1.5443,1.5443,1.50584,1.50584,1.50584,1.46752,1.46752,1.46752
32,2.43204,1.69673,1.69673,1.69673,1.66495,1.66495,1.66495,1.62781,1.62781,1.62781,1.58767,1.58767,1.58767,1.54758,1.54758,1.54758
33,2.5502,1.78656,1.78656,1.78656,1.75383,1.75383,1.75383,1.71522,1.71522,1.71522,1.67334,1.67334,1.67334,1.63133,1.63133,1.63133
34,2.67182,1.87958,1.87958,1.87958,1.84616,1.84616,1.84616,1.80654,1.80654,1.80654,1.76323,1.76323,1.76323,1.71915,1.71915,1.71915
35,2.797,1.97553,1.97553,1.97553,1.94163,1.94163,1.94163,1.90121,1.90121,1.90121,1.85676,1.85676,1.85676,1.81131,1.81131,1.81131
36,2.92586,2.07486,2.07486,2.07486,2.04034,2.04034,2.04034,1.99916,1.99916,1.99916,1.95365,1.95365,1.95365,1.90717,1.90717,1.90717
37,3.05848,2.17831,2.17831,2.17831,2.14293,2.14293,2.14293,2.10102,2.10102,2.10102,2.05471,2.05471,2.05471,2.00646,2.00646,2.00646
38,3.195,2.28585,2.28585,2.28585,2.24976,2.24976,2.24976,2.20707,2.20707,2.20707,2.16011,2.16011,2.16011,2.11103,2.11103,2.11103
39,3.33551,2.3973,2.3973,2.3973,2.36074,2.36074,2.36074,2.3171,2.3171,2.3171,2.26923,2.26923,2.26923,2.21988,2.21988,2.21988
40,3.48015,2.51258,2.51258,2.51258,2.47581,2.47581,2.47581,2.4316,2.4316,2.4316,2.38257,2.38257,2.38257,2.33186,2.33186,2.33186
41,3.62902,2.63184,2.63184,2.63184,2.59483,2.59483,2.59483,2.55061,2.55061,2.55061,2.50095,2.50095,2.50095,2.44894,2.44894,2.44894
42,3.78225,2.75527,2.75527,2.75527,2.71779,2.71779,2.71779,2.67321,2.67321,2.67321,2.62366,2.62366,2.62366,2.57171,2.57171,2.57171
43,3.93998,2.883,2.883,2.883,2.84515,2.84515,2.84515,2.79991,2.79991,2.79991,2.75012,2.75012,2.75012,2.69835,2.69835,2.69835
44,4.10232,3.01531,3.01531,3.01531,2.97727,2.97727,2.97727,2.93177,2.93177,2.93177,2.88131,2.88131,2.88131,2.82895,2.82895,2.82895
45,4.26943,3.15244,3.15244,3.15244,3.11431,3.11431,3.11431,3.06872,3.06872,3.06872,3.0179,3.0179,3.0179,2.9649,2.9649,2.9649
46,4.44143,3.29424,3.29424,3.29424,3.25617,3.25617,3.25617,3.21064,3.21064,3.21064,3.15962,3.15962,3.15962,3.10645,3.10645,3.10645
47,4.61847,3.44061,3.44061,3.44061,3.40244,3.40244,3.40244,3.35708,3.35708,3.35708,3.30613,3.30613,3.30613,3.2527,3.2527,3.2527
48,4.8007,3.59196,3.59196,3.59196,3.55341,3.55341,3.55341,3.50774,3.50774,3.50774,3.45698,3.45698,3.45698,3.40389,3.40389,3.40389
49,4.98827,3.74869,3.74869,3.74869,3.7099,3.7099,3.7099,3.6638,3.6638,3.6638,3.61281,3.61281,3.61281,3.56024,3.56024,3.56024
50,5.18134,3.91073,3.91073,3.91073,3.87203,3.87203,3.87203,3.82594,3.82594,3.82594,3.77466,3.77466,3.77466,3.72187,3.72187,3.72187
51,5.38006,4.0778,4.0778,4.0778,4.03944,4.03944,4.03944,3.99363,3.99363,3.99363,3.94232,3.94232,3.94232,3.88911,3.88911,3.88911
52,5.58461,4.25015,4.25015,4.25015,4.2121,4.2121,4.2121,4.16668,4.16668,4.16668,4.11588,4.11588,4.11588,4.06284,4.06284,4.06284
53,5.79515,4.42854,4.42854,4.42854,4.39052,4.39052,4.39052,4.34518,4.34518,4.34518,4.29452,4.29452,4.29452,4.24198,4.24198,4.24198
54,6.01186,4.61287,4.61287,4.61287,4.57488,4.57488,4.57488,4.52959,4.52959,4.52959,4.47882,4.47882,4.47882,4.42621,4.42621,4.42621
55,6.23493,4.8031,4.8031,4.8031,4.76518,4.76518,4.76518,4.72008,4.72008,4.72008,4.66958,4.66958,4.66958,4.61701,4.61701,4.61701
56,6.46452,4.99975,4.99975,4.99975,4.96195,4.96195,4.96195,4.91707,4.91707,4.91707,4.86693,4.86693,4.86693,4.81471,4.81471,4.81471
57,6.70085,5.20283,5.20283,5.20283,5.1653,5.1653,5.1653,5.12076,5.12076,5.12076,5.07103,5.07103,5.07103,5.01919,5.01919,5.01919
58,6.94411,5.41234,5.41234,5.41234,5.37505,5.37505,5.37505,5.33079,5.33079,5.33079,5.28147,5.28147,5.28147,5.23024,5.23024,5.23024
59,7.19449,5.62861,5.62861,5.62861,5.59152,5.59152,5.59152,5.54734,5.54734,5.54734,5.49808,5.49808,5.49808,5.44712,5.44712,5.44712
60,7.45221,5.85193,5.85193,5.85193,5.81514,5.81514,5.81514,5.77113,5.77113,5.77113,5.72189,5.72189,5.72189,5.67089,5.67089,5.67089
61,7.71748,6.08228,6.08228,6.08228,6.04585,6.04585,6.04585,6.00227,6.00227,6.00227,5.95344,5.95344,5.95344,5.90272,5.90272,5.90272
62,7.99052,6.31971,6.31971,6.31971,6.28363,6.28363,6.28363,6.24066,6.24066,6.24066,6.19243,6.19243,6.19243,6.14227,6.14227,6.14227
63,8.27157,6.56438,6.56438,6.56438,6.52842,6.52842,6.52842,6.48586,6.48586,6.48586,6.4383,6.4383,6.4383,6.38879,6.38879,6.38879
64,8.56085,6.81691,6.81691,6.81691,6.78089,6.78089,6.78089,6.73846,6.73846,6.73846,6.69125,6.69125,6.69125,6.64212,6.64212,6.64212
65,8.85861,7.07759,7.07759,7.07759,7.04159,7.04159,7.04159,6.99923,6.99923,6.99923,6.95222,6.95222,6.95222,6.90327,6.90327,6.90327
66,9.16509,7.34638,7.34638,7.34638,7.31048,7.31048,7.31048,7.26811,7.26811,7.26811,7.22112,7.22112,7.22112,7.17256,7.17256,7.17256
67,9.48056,7.62352,7.62352,7.62352,7.58787,7.58787,7.58787,7.54568,7.54568,7.54568,7.49878,7.49878,7.49878,7.45041,7.45041,7.45041
68,9.80527,7.90935,7.90935,7.90935,7.87403,7.87403,7.87403,7.83218,7.83218,7.83218,7.78565,7.78565,7.78565,7.73774,7.73774,7.73774
69,10.1395,8.20419,8.20419,8.20419,8.16918,8.16918,8.16918,8.12762,8.12762,8.12762,8.08131,8.08131,8.08131,8.03357,8.03357,8.03357
70,10.4835,8.50832,8.50832,8.50832,8.47361,8.47361,8.47361,8.43235,8.43235,8.43235,8.38623,8.38623,8.38623,8.33843,8.33843,8.33843
71,10.8376,8.82196,8.82196,8.82196,8.78757,8.78757,8.78757,8.74667,8.74667,8.74667,8.70088,8.70088,8.70088,8.65331,8.65331,8.65331
72,11.2021,9.14538,9.14538,9.14538,9.11131,9.11131,9.11131,9.0708,9.0708,9.0708,9.02545,9.02545,9.02545,8.97836,8.97836,8.97836
73,11.5773,9.47871,9.47871,9.47871,9.44489,9.44489,9.44489,9.40475,9.40475,9.40475,9.35988,9.35988,9.35988,9.31334,9.31334,9.31334
74,11.9634,9.82224,9.82224,9.82224,9.78845,9.78845,9.78845,9.74846,9.74846,9.74846,9.70396,9.70396,9.70396,9.65796,9.65796,9.65796
75,12.3609,10.1764,10.1764,10.1764,10.1426,10.1426,10.1426,10.1027,10.1027,10.1027,10.0584,10.0584,10.0584,10.0129,10.0129,10.0129
76,12.77,10.5413,10.5413,10.5413,10.5078,10.5078,10.5078,10.468,10.468,10.468,10.4238,10.4238,10.4238,10.3785,10.3785,10.3785
77,13.1911,10.9171,10.9171,10.9171,10.884,10.884,10.884,10.8445,10.8445,10.8445,10.8006,10.8006,10.8006,10.7553,10.7553,10.7553
78,13.6246,11.3042,11.3042,11.3042,11.2714,11.2714,11.2714,11.2324,11.2324,11.2324,11.1889,11.1889,11.1889,11.1441,11.1441,11.1441
79,14.0707,11.7031,11.7031,11.7031,11.6704,11.6704,11.6704,11.6318,11.6318,11.6318,11.5888,11.5888,11.5888,11.5445,11.5445,11.5445
80,14.5299,12.1142,12.1142,12.1142,12.0816,12.0816,12.0816,12.0433,12.0433,12.0433,12.0007,12.0007,12.0007,11.9567,11.9567,11.9567
81,15.0026,12.538,12.538,12.538,12.5056,12.5056,12.5056,12.4675,12.4675,12.4675,12.4251,12.4251,12.4251,12.3814,12.3814,12.3814
82,15.4891,12.9746,12.9746,12.9746,12.9425,12.9425,12.9425,12.9046,12.9046,12.9046,12.8625,12.8625,12.8625,12.819,12.819,12.819
83,15.9899,13.4246,13.4246,13.4246,13.3927,13.3927,13.3927,13.3551,13.3551,13.3551,13.3133,13.3133,13.3133,13.27,13.27,13.27
84,16.5054,13.8882,13.8882,13.8882,13.8565,13.8565,13.8565,13.819,13.819,13.819,13.7774,13.7774,13.7774,13.7345,13.7345,13.7345
85,17.036,14.366,14.366,14.366,14.3343,14.3343,14.3343,14.2969,14.2969,14.2969,14.2552,14.2552,14.2552,14.2122,14.2122,14.2122
86,17.5821,14.8582,14.8582,14.8582,14.8267,14.8267,14.8267,14.7893,14.7893,14.7893,14.7475,14.7475,14.7475,14.7043,14.7043,14.7043
87,18.1442,15.3653,15.3653,15.3653,15.3339,15.3339,15.3339,15.2966,15.2966,15.2966,15.2549,15.2549,15.2549,15.2118,15.2118,15.2118
88,18.7228,15.8877,15.8877,15.8877,15.8565,15.8565,15.8565,15.8194,15.8194,15.8194,15.7779,15.7779,15.7779,15.735,15.735,15.735
89,19.3184,16.4259,16.4259,16.4259,16.3948,16.3948,16.3948,16.3579,16.3579,16.3579,16.3167,16.3167,16.3167,16.2742,16.2742,16.2742
90,19.9314,16.9801,16.9801,16.9801,16.9492,16.9492,16.9492,16.9125,16.9125,16.9125,16.8717,16.8717,16.8717,16.8296,16.8296,16.8296
91,20.5623,17.5512,17.5512,17.5512,17.5202,17.5202,17.5202,17.4837,17.4837,17.4837,17.4433,17.4433,17.4433,17.4017,17.4017,17.4017
92,21.2118,18.1394,18.1394,18.1394,18.1086,18.1086,18.1086,18.0723,18.0723,18.0723,18.0321,18.0321,18.0321,17.991,17.991,17.991
93,21.8803,18.7452,18.7452,18.7452,18.7146,18.7146,18.7146,18.6786,18.6786,18.6786,18.6388,18.6388,18.6388,18.598,18.598,18.598
94,22.5684,19.3692,19.3692,19.3692,19.3388,19.3388,19.3388,19.3031,19.3031,19.3031,19.2636,19.2636,19.2636,19.2231,19.2231,19.2231
95,23.2766,20.0115,20.0115,20.0115,19.9815,19.9815,19.9815,19.9461,19.9461,19.9461,19.9068,19.9068,19.9068,19.8665,19.8665,19.8665
96,24.0056,20.6728,20.6728,20.6728,20.6431,20.6431,20.6431,20.608,20.608,20.608,20.569,20.569,20.569,20.5287,20.5287,20.5287
97,24.756,21.354,21.354,21.354,21.3243,21.3243,21.3243,21.2894,21.2894,21.2894,21.2506,21.2506,21.2506,21.2104,21.2104,21.2104
