gridnumber,capital,cons[0],cons[1],cons[2],cons[3],cons[4],cons[5],cons[6],
248,26.2442,2.26112,2.28998,2.32776,2.37813,2.44715,2.54424,2.6827,
249,26.5668,2.27486,2.30367,2.34142,2.39177,2.46077,2.55787,2.69622,
250,26.8931,2.28873,2.31751,2.35524,2.40557,2.47455,2.57161,2.70989,
251,27.2232,2.30273,2.33149,2.3692,2.41951,2.4885,2.5855,2.72371,
252,27.5571,2.31688,2.34563,2.38332,2.43362,2.5026,2.59952,2.73771,
253,27.8949,2.33118,2.35991,2.39759,2.44788,2.51683,2.6137,2.75188,
254,28.2366,2.34563,2.37435,2.41202,2.4623,2.53121,2.62804,2.76626,
255,28.5823,2.36023,2.38895,2.42661,2.47687,2.54574,2.64254,2.78086,
256,28.932,2.375,2.4037,2.44135,2.49159,2.56043,2.65722,2.79559,
257,29.2857,2.38992,2.41862,2.45626,2.50647,2.57529,2.67205,2.81043,
258,29.6435,2.40501,2.4337,2.47132,2.52152,2.59032,2.68707,2.82544,
259,30.0055,2.42026,2.44894,2.48655,2.53673,2.60552,2.70226,2.84063,
260,30.3716,2.43567,2.46435,2.50195,2.55211,2.62089,2.71764,2.85596,
261,30.742,2.45126,2.47993,2.51752,2.56767,2.63643,2.7332,2.87147,
262,31.1167,2.46701,2.49567,2.53325,2.5834,2.65215,2.74893,2.88719,
263,31.4958,2.48293,2.51159,2.54917,2.59931,2.66806,2.76484,2.90319,
264,31.8792,2.49903,2.52769,2.56526,2.61539,2.68415,2.78094,2.91937,
265,32.267,2.51531,2.54397,2.58153,2.63167,2.70043,2.79722,2.93561,
266,32.6594,2.53177,2.56042,2.59799,2.64812,2.7169,2.81368,2.95209,
267,33.0563,2.54841,2.57707,2.61464,2.66478,2.73356,2.83035,2.96879,
268,33.4578,2.56526,2.59391,2.63149,2.68163,2.75041,2.84727,2.98562,
269,33.864,2.58233,2.61099,2.64855,2.69868,2.76746,2.86437,3.00259,
270,34.2748,2.59962,2.62826,2.6658,2.71593,2.78472,2.88158,3.01976,
271,34.6904,2.61708,2.64571,2.68324,2.73337,2.80218,2.89899,3.03713,
272,35.1109,2.63473,2.66335,2.70088,2.75102,2.81983,2.91661,3.05471,
273,35.5362,2.65258,2.6812,2.71873,2.76887,2.83765,2.9344,3.07249,
274,35.9664,2.67062,2.69924,2.73677,2.7869,2.85567,2.95239,3.09046,
275,36.4016,2.68887,2.71749,2.75502,2.80514,2.87388,2.97058,3.10866,
276,36.8419,2.70732,2.73594,2.77346,2.82357,2.8923,2.98899,3.12707,
277,37.2872,2.72597,2.75459,2.79211,2.84221,2.91092,3.00761,3.1457,
278,37.7377,2.74484,2.77345,2.81097,2.86105,2.92976,3.02644,3.16455,
279,38.1935,2.76391,2.79252,2.83003,2.88011,2.94881,3.0455,3.18369,
280,38.6545,2.7832,2.81181,2.84931,2.89939,2.96809,3.06478,3.20311,
281,39.1209,2.8027,2.83131,2.86881,2.91888,2.98758,3.08428,3.22271,
282,39.5926,2.82242,2.85103,2.88853,2.9386,3.0073,3.10401,3.24249,
283,40.0698,2.84237,2.87097,2.90847,2.95854,3.02725,3.12399,3.26251,
284,40.5526,2.86257,2.89115,2.92864,2.97872,3.04744,3.14422,3.28276,
285,41.0409,2.883,2.91156,2.94904,2.99913,3.06786,3.16468,3.30326,
286,41.5349,2.90363,2.93219,2.96968,3.01977,3.08852,3.18537,3.324,
287,42.0347,2.92451,2.95306,2.99056,3.04066,3.10942,3.20631,3.345,
288,42.5402,2.94561,2.97417,3.01167,3.06178,3.13057,3.22751,3.36627,
289,43.0516,2.96696,2.99552,3.03303,3.08316,3.15197,3.24896,3.38776,
290,43.5689,2.98855,3.01712,3.05464,3.10478,3.17362,3.27069,3.40956,
291,44.0922,3.01038,3.03897,3.0765,3.12666,3.19555,3.2927,3.43161,
292,44.6215,3.03247,3.06107,3.09862,3.14881,3.21774,3.31501,3.45378,
293,45.157,3.05482,3.08343,3.121,3.17122,3.24023,3.33759,3.47613,
294,45.6987,3.07743,3.10605,3.14365,3.19391,3.26303,3.36044,3.49878,
295,46.2467,3.10031,3.12895,3.16657,3.21691,3.28615,3.3835,3.52174,
296,46.801,3.12346,3.15213,3.1898,3.24025,3.30953,3.4067,3.54491,
297,47.3617,3.1469,3.17562,3.21338,3.26389,3.33311,3.43013,3.56825,
298,47.9289,3.17067,3.19947,3.23729,3.28776,3.35688,3.45384,3.59185,
299,48.5027,3.19476,3.2236,3.26142,3.31185,3.38089,3.47781,3.61572,
300,49.0832,3.21914,3.24799,3.28579,3.33617,3.40516,3.50201,3.63987,
301,49.6704,3.2438,3.27264,3.31041,3.36075,3.42969,3.52648,3.66428,
302,50.2644,3.26872,3.29755,3.33529,3.38558,3.45448,3.55122,3.68897,
303,50.8652,3.2939,3.32271,3.36042,3.41069,3.47954,3.57624,3.71395,
304,51.473,3.31934,3.34813,3.38582,3.43606,3.50488,3.60154,3.73921,
305,52.0879,3.34505,3.37383,3.4115,3.4617,3.53049,3.62712,3.76476,
306,52.7099,3.37104,3.3998,3.43745,3.48763,3.55639,3.65299,3.79061,
307,53.3391,3.3973,3.42605,3.46368,3.51384,3.58259,3.67916,3.81677,
308,53.9756,3.42385,3.45258,3.4902,3.54035,3.60907,3.70562,3.84321,
309,54.6194,3.45068,3.47941,3.51701,3.56715,3.63585,3.73239,3.86996,
310,55.2707,3.47781,3.50653,3.54412,3.59425,3.66294,3.75947,3.89702,
311,55.9296,3.50524,3.53395,3.57154,3.62165,3.69034,3.78685,3.92442,
312,56.5961,3.53297,3.56168,3.59926,3.64937,3.71804,3.81455,3.95221,
313,57.2703,3.56101,3.58972,3.62729,3.6774,3.74607,3.84257,3.98031,
314,57.9523,3.58937,3.61807,3.65564,3.70574,3.77441,3.87092,4.00864,
315,58.6423,3.61804,3.64674,3.68432,3.73441,3.80308,3.8996,4.03728,
316,59.3402,3.64704,3.67574,3.71331,3.76341,3.83208,3.92861,4.06626,
317,60.0462,3.67636,3.70507,3.74264,3.79274,3.86141,3.95793,4.09558,
318,60.7604,3.70602,3.73473,3.7723,3.8224,3.89107,3.98758,4.12524,
319,61.4828,3.73602,3.76473,3.8023,3.8524,3.92106,4.01758,4.15525,
320,62.2137,3.76636,3.79507,3.83265,3.88275,3.95141,4.04793,4.18561,
321,62.9529,3.79704,3.82576,3.86334,3.91344,3.9821,4.07863,4.21634,
322,63.7008,3.82808,3.85679,3.89438,3.94448,4.01315,4.1097,4.24744,
323,64.4573,3.85947,3.88819,3.92578,3.97589,4.04456,4.14112,4.27891,
324,65.2226,3.89122,3.91994,3.95753,4.00765,4.07634,4.17292,4.31076,
325,65.9968,3.92334,3.95206,3.98966,4.03979,4.10849,4.2051,4.34298,
326,66.7799,3.95582,3.98455,4.02216,4.0723,4.14102,4.23767,4.37559,
327,67.5721,3.98869,4.01742,4.05504,4.10519,4.17394,4.27063,4.40861,
328,68.3735,4.02193,4.05067,4.0883,4.13847,4.20725,4.30399,4.44207,
329,69.1841,4.05556,4.08431,4.12196,4.17215,4.24097,4.33775,4.47585,
330,70.0042,4.08963,4.11839,4.15604,4.20626,4.2751,4.37196,4.5099,
331,70.8337,4.12416,4.15292,4.19055,4.24077,4.30965,4.40655,4.54431,
332,71.6729,4.15909,4.18783,4.22546,4.27569,4.3446,4.44141,4.57916,
333,72.5218,4.1944,4.22314,4.26077,4.31101,4.37989,4.47664,4.61447,
334,73.3805,4.23011,4.25885,4.29648,4.3467,4.41555,4.51228,4.65015,
335,74.2492,4.26622,4.29495,4.33257,4.38278,4.45161,4.54834,4.68613,
336,75.1279,4.30273,4.33146,4.36907,4.41926,4.48807,4.5848,4.72252,
337,76.0168,4.33964,4.36836,4.40596,4.45614,4.52494,4.62164,4.75933,
338,76.916,4.37696,4.40568,4.44327,4.49344,4.56222,4.65889,4.79656,
339,77.8256,4.41469,4.44341,4.48099,4.53115,4.59992,4.69657,4.83421,
340,78.7458,4.45285,4.48156,4.51914,4.56929,4.63805,4.73469,4.8723,
341,79.6766,4.49143,4.52014,4.55771,4.60786,4.67661,4.77323,4.91083,
342,80.6182,4.53045,4.55915,4.59672,4.64686,4.71561,4.81222,4.9498,
343,81.5708,4.56991,4.59861,4.63618,4.68631,4.75505,4.85166,4.98922,
344,82.5343,4.60981,4.63851,4.67608,4.72622,4.79495,4.89155,5.02909,
345,83.509,4.65021,4.67888,4.71644,4.76658,4.83531,4.9319,5.06943,
346,84.495,4.69108,4.71972,4.75727,4.8074,4.87613,4.97271,5.11022,
347,85.4925,4.73238,4.76101,4.79856,4.84869,4.91742,5.01399,5.15149,
348,86.5014,4.77415,4.80278,4.84033,4.89045,4.95918,5.05574,5.19323,
349,87.5221,4.81639,4.84502,4.88257,4.9327,5.00142,5.09798,5.23546,
350,88.5546,4.85911,4.88774,4.92529,4.97542,5.04414,5.1407,5.27817,
351,89.5991,4.90232,4.93095,4.96851,5.01864,5.08736,5.18391,5.32138,
352,90.6556,4.94602,4.97466,5.01222,5.06235,5.13107,5.22763,5.36509,
353,91.7245,4.99023,5.01887,5.05643,5.10657,5.17529,5.27185,5.40931,
354,92.8056,5.03494,5.06359,5.10116,5.15129,5.22002,5.31658,5.45404,
355,93.8993,5.08017,5.10883,5.14639,5.19654,5.26527,5.36182,5.49929,
356,95.0057,5.12592,5.15458,5.19215,5.2423,5.31103,5.4076,5.54508,
357,96.1249,5.1722,5.20086,5.23844,5.28859,5.35733,5.4539,5.5914,
358,97.2571,5.21901,5.24768,5.28526,5.33542,5.40417,5.50075,5.63826,
359,98.4024,5.26636,5.29504,5.33263,5.38279,5.45154,5.54813,5.68576,
360,99.5609,5.31426,5.34294,5.38054,5.43071,5.49947,5.59608,5.73379,
361,100.733,5.36272,5.3914,5.42901,5.47918,5.54795,5.64459,5.78226,
362,101.918,5.41173,5.44042,5.47803,5.52822,5.59699,5.69364,5.83126,
363,103.118,5.46132,5.49001,5.52763,5.57781,5.64659,5.74323,5.88084,
364,104.331,5.51147,5.54017,5.57779,5.62798,5.69675,5.79338,5.93098,
365,105.558,5.5622,5.5909,5.62852,5.67872,5.74749,5.84412,5.98171,
366,106.8,5.61351,5.64222,5.67984,5.73004,5.79881,5.89543,6.03301,
367,108.055,5.66542,5.69413,5.73175,5.78195,5.85072,5.94734,6.08492,
368,109.326,5.71792,5.74663,5.78426,5.83446,5.90323,5.99985,6.13742,
369,110.611,5.77102,5.79974,5.83737,5.88757,5.95635,6.05297,6.19052,
370,111.911,5.82473,5.85346,5.89109,5.9413,6.01008,6.10669,6.24424,
371,113.226,5.87907,5.90779,5.94543,5.99564,6.06442,6.16104,6.29858,
372,114.556,5.93403,5.96276,6.0004,6.05061,6.1194,6.21601,6.35355,
373,115.902,5.98962,6.01836,6.056,6.10622,6.17501,6.27162,6.40916,
374,117.263,6.04586,6.0746,6.11225,6.16247,6.23126,6.32788,6.4654,
375,118.64,6.10274,6.13148,6.16914,6.21936,6.28816,6.38478,6.5223,
376,120.033,6.16028,6.18903,6.22669,6.27692,6.34572,6.44234,6.57986,
377,121.442,6.21849,6.24724,6.28491,6.33514,6.40394,6.50056,6.63809,
378,122.868,6.27737,6.30612,6.34379,6.39403,6.46284,6.55946,6.69699,
379,124.31,6.33693,6.36569,6.40336,6.4536,6.52241,6.61904,6.75657,
380,125.769,6.39717,6.42594,6.46362,6.51386,6.58268,6.67932,6.81685,
381,127.244,6.45812,6.48688,6.52457,6.57482,6.64364,6.74029,6.87783,
382,128.737,6.51976,6.54854,6.58623,6.63649,6.70532,6.80197,6.93952,
383,130.247,6.58213,6.61091,6.6486,6.69887,6.7677,6.86437,7.00194,
384,131.774,6.64521,6.67399,6.7117,6.76197,6.83082,6.92749,7.0651,
385,133.32,6.70903,6.73782,6.77553,6.82581,6.89467,6.99136,7.12901,
386,134.883,6.77358,6.80238,6.8401,6.89039,6.95926,7.05599,7.19369,
387,136.464,6.83889,6.86769,6.90542,6.95573,7.02462,7.12138,7.25916,
388,138.063,6.90496,6.93377,6.97151,7.02183,7.09075,7.18756,7.32544,
389,139.681,6.9718,7.00063,7.03838,7.08872,7.15768,7.25455,7.39255,
390,141.318,7.03943,7.06827,7.10605,7.15641,7.22542,7.3224,7.46041,
391,142.974,7.10787,7.13672,7.17452,7.22493,7.29399,7.39103,7.52892,
392,144.649,7.17712,7.20599,7.24381,7.29424,7.36332,7.46033,7.59814,
393,146.343,7.24718,7.27606,7.31389,7.36432,7.43339,7.53036,7.66817,
394,148.057,7.31804,7.34693,7.38475,7.43517,7.50423,7.60119,7.73901,
395,149.791,7.38971,7.41859,7.45641,7.50682,7.57588,7.67283,7.81074,
396,151.545,7.46218,7.49106,7.52888,7.57929,7.64834,7.74532,7.8833,
397,153.319,7.53548,7.56435,7.60217,7.65259,7.72164,7.81864,7.9566,
398,155.114,7.60961,7.63849,7.6763,7.72672,7.79577,7.89276,8.03069,
399,156.929,7.68458,7.71346,7.75128,7.80169,7.87074,7.96772,8.10563,
400,158.766,7.76041,7.78929,7.82711,7.87752,7.94656,8.04353,8.18143,
401,160.624,7.83711,7.86599,7.90381,7.95421,8.02325,8.12022,8.25811,
402,162.503,7.91468,7.94357,7.98138,8.03179,8.10083,8.19779,8.33567,
403,164.404,7.99315,8.02203,8.05985,8.11026,8.1793,8.27625,8.41412,
404,166.328,8.07252,8.1014,8.13922,8.18963,8.25867,8.35562,8.49349,
405,168.273,8.1528,8.18169,8.21951,8.26992,8.33896,8.43591,8.57377,
406,170.241,8.23401,8.2629,8.30072,8.35114,8.42018,8.51713,8.65497,
407,172.232,8.31615,8.34505,8.38287,8.43329,8.50233,8.59928,8.73712,
408,174.246,8.39924,8.42814,8.46597,8.51639,8.58543,8.68238,8.82022,
409,176.283,8.4833,8.5122,8.55003,8.60045,8.6695,8.76644,8.90427,
410,178.344,8.56832,8.59722,8.63506,8.68549,8.75453,8.85148,8.9893,
411,180.428,8.65433,8.68323,8.72107,8.7715,8.84055,8.93749,9.07531,
412,182.537,8.74133,8.77024,8.80808,8.85851,8.92756,9.02451,9.16232,
413,184.671,8.82933,8.85825,8.89609,8.94653,9.01558,9.11252,9.25033,
414,186.829,8.91836,8.94728,8.98513,9.03556,9.10462,9.20156,9.33936,
415,189.012,9.00841,9.03733,9.07519,9.12563,9.19468,9.29162,9.42942,
416,191.22,9.0995,9.12843,9.16629,9.21673,9.28579,9.38273,9.52052,
417,193.454,9.19165,9.22058,9.25844,9.30889,9.37795,9.47489,9.61268,
418,195.713,9.28487,9.3138,9.35166,9.40211,9.47118,9.56812,9.7059,
419,197.999,9.37916,9.40809,9.44596,9.49641,9.56548,9.66242,9.8002,
420,200.312,9.47454,9.50348,9.54135,9.59181,9.66087,9.75781,9.89559,
421,202.651,9.57103,9.59997,9.63784,9.6883,9.75737,9.85431,9.99208,
422,205.017,9.66863,9.69758,9.73545,9.78591,9.85499,9.95193,10.0897,
423,207.411,9.76736,9.79631,9.83419,9.88465,9.95373,10.0507,10.1884,
424,209.832,9.86724,9.89619,9.93407,9.98454,10.0536,10.1506,10.2883,
425,212.282,9.96826,9.99722,10.0351,10.0856,10.1547,10.2516,10.3894,
426,214.76,10.0705,10.0994,10.1373,10.1878,10.2569,10.3538,10.4916,
427,217.266,10.1738,10.2028,10.2407,10.2912,10.3603,10.4572,10.5949,
428,219.802,10.2784,10.3074,10.3453,10.3958,10.4648,10.5618,10.6995,
429,222.367,10.3842,10.4132,10.4511,10.5016,10.5706,10.6676,10.8053,
430,224.962,10.4912,10.5202,10.5581,10.6086,10.6777,10.7746,10.9123,
431,227.586,10.5995,10.6284,10.6663,10.7168,10.7859,10.8829,11.0206,
432,230.242,10.709,10.7379,10.7758,10.8263,10.8954,10.9924,11.1301,
433,232.928,10.8197,10.8487,10.8866,10.9371,11.0062,11.1032,11.2409,
434,235.645,10.9318,10.9608,10.9987,11.0492,11.1183,11.2152,11.3529,
435,238.393,11.0451,11.0741,11.112,11.1625,11.2316,11.3286,11.4663,
436,241.174,11.1598,11.1888,11.2267,11.2772,11.3463,11.4432,11.581,
437,243.986,11.2758,11.3048,11.3427,11.3932,11.4623,11.5592,11.697,
438,246.831,11.3931,11.4221,11.46,11.5105,11.5796,11.6766,11.8143,
439,249.709,11.5118,11.5408,11.5787,11.6292,11.6983,11.7953,11.933,
440,252.621,11.6318,11.6608,11.6988,11.7493,11.8184,11.9153,12.0531,
441,255.566,11.7533,11.7823,11.8202,11.8707,11.9398,12.0368,12.1745,
442,258.545,11.8761,11.9051,11.9431,11.9936,12.0627,12.1597,12.2974,
443,261.559,12.0004,12.0294,12.0673,12.1179,12.187,12.2839,12.4217,
444,264.608,12.1261,12.1551,12.1931,12.2436,12.3127,12.4097,12.5474,
445,267.692,12.2533,12.2823,12.3202,12.3708,12.4399,12.5368,12.6746,
446,270.812,12.3819,12.4109,12.4489,12.4994,12.5685,12.6655,12.8032,
447,273.968,12.512,12.5411,12.579,12.6296,12.6987,12.7956,12.9334,
448,277.16,12.6437,12.6727,12.7107,12.7612,12.8303,12.9273,13.065,
449,280.39,12.7768,12.8059,12.8438,12.8944,12.9635,13.0605,13.1982,
450,283.657,12.9115,12.9406,12.9785,13.0291,13.0982,13.1952,13.3329,
451,286.962,13.0478,13.0768,13.1148,13.1653,13.2345,13.3314,13.4692,
452,290.305,13.1856,13.2147,13.2526,13.3032,13.3723,13.4693,13.607,
453,293.686,13.3251,13.3541,13.3921,13.4426,13.5118,13.6088,13.7465,
454,297.107,13.4661,13.4952,13.5331,13.5837,13.6528,13.7498,13.8876,
455,300.568,13.6088,13.6378,13.6758,13.7264,13.7956,13.8926,14.0304,
456,304.069,13.7532,13.7822,13.8202,13.8708,13.9399,14.037,14.175,
457,307.61,13.8992,13.9282,13.9662,14.0168,14.086,14.1831,14.3212,
458,311.192,14.0469,14.076,14.114,14.1646,14.2338,14.3309,14.4689,
459,314.816,14.1963,14.2254,14.2634,14.314,14.3832,14.4803,14.6183,
460,318.482,14.3475,14.3765,14.4146,14.4651,14.5343,14.6314,14.7694,
461,322.19,14.5004,14.5294,14.5674,14.618,14.6872,14.7843,14.9223,
462,325.941,14.655,14.6841,14.7221,14.7727,14.8419,14.939,15.077,
463,329.736,14.8115,14.8405,14.8785,14.9291,14.9983,15.0954,15.2334,
464,333.574,14.9697,14.9988,15.0368,15.0874,15.1566,15.2537,15.3917,
465,337.457,15.1298,15.1589,15.1969,15.2475,15.3167,15.4138,15.5517,
466,341.385,15.2917,15.3208,15.3588,15.4094,15.4786,15.5757,15.7137,
467,345.359,15.4555,15.4846,15.5226,15.5732,15.6424,15.7395,15.8775,
468,349.379,15.6212,15.6503,15.6883,15.7389,15.8081,15.9052,16.0432,
469,353.445,15.7889,15.8179,15.856,15.9066,15.9758,16.0729,16.2108,
470,357.558,15.9584,15.9875,16.0255,16.0761,16.1453,16.2424,16.3804,
471,361.719,16.1299,16.159,16.197,16.2477,16.3169,16.414,16.5519,
472,365.928,16.3034,16.3325,16.3706,16.4212,16.4904,16.5875,16.7254,
473,370.186,16.479,16.5081,16.5461,16.5967,16.6659,16.763,16.901,
474,374.493,16.6565,16.6856,16.7236,16.7743,16.8435,16.9406,17.0785,
475,378.85,16.8361,16.8652,16.9033,16.9539,17.0231,17.1202,17.2581,
476,383.258,17.0178,17.0469,17.0849,17.1356,17.2048,17.3019,17.4398,
477,387.717,17.2016,17.2307,17.2687,17.3194,17.3886,17.4857,17.6236,
478,392.227,17.3875,17.4166,17.4547,17.5053,17.5745,17.6716,17.8095,
479,396.79,17.5756,17.6047,17.6427,17.6934,17.7626,17.8597,17.9976,
480,401.405,17.7658,17.7949,17.833,17.8836,17.9529,18.0499,18.1879,
481,406.074,17.9583,17.9874,18.0254,18.0761,18.1453,18.2424,18.3803,
482,410.797,18.153,18.1821,18.2201,18.2708,18.34,18.4371,18.575,
483,415.575,18.3499,18.379,18.4171,18.4677,18.5369,18.634,18.7719,
484,420.408,18.5491,18.5782,18.6163,18.6669,18.7362,18.8333,18.9712,
485,425.297,18.7506,18.7798,18.8178,18.8685,18.9377,19.0348,19.1727,
486,430.242,18.9545,18.9836,19.0217,19.0723,19.1415,19.2386,19.3765,
487,435.245,19.1607,19.1898,19.2279,19.2785,19.3478,19.4448,19.5827,
488,440.306,19.3693,19.3984,19.4365,19.4871,19.5563,19.6534,19.7912,
489,445.426,19.5803,19.6094,19.6474,19.6981,19.7673,19.8643,20.002,
490,450.605,19.7936,19.8227,19.8608,19.9114,19.9805,20.0774,20.2149,
491,455.844,20.0094,20.0384,20.0764,20.127,20.196,20.2926,20.4296,
492,461.143,20.2273,20.2563,20.2942,20.3447,20.4134,20.5095,20.6452,
493,466.504,20.4471,20.476,20.5138,20.5639,20.6321,20.7268,20.8599,
494,471.927,20.668,20.6967,20.734,20.7835,20.8503,20.9421,21.0696,
495,477.413,20.8882,20.9162,20.9526,21.0006,21.0644,21.1499,21.2656,
496,482.963,21.1034,21.13,21.1643,21.2091,21.2663,21.3392,21.4323,
497,488.577,21.3044,21.3279,21.3578,21.396,21.4399,21.4902,21.5476,
498,494.255,21.4728,21.4904,21.5119,21.5376,21.5589,21.5792,21.5988,
499,500,21.5579,21.5692,21.5817,21.5945,21.6069,21.6184,21.6288,
