gridnumber,capital,dist[0],dist[1],dist[2],dist[3],dist[4],dist[5],dist[6],
0,0,1.36167e-007,5.53037e-007,6.94714e-007,2.41765e-007,2.18328e-008,4.78674e-010,2.42345e-012,
1,0.0185364,2.77473e-008,1.28426e-007,1.74636e-007,6.34801e-008,5.85669e-009,1.29655e-010,6.59145e-013,
2,0.0372875,3.51669e-008,2.14331e-007,4.60905e-007,3.11181e-007,6.01059e-008,3.02164e-009,3.6698e-011,
3,0.0562558,3.46716e-008,2.06975e-007,4.38661e-007,2.93567e-007,5.64405e-008,2.83106e-009,3.43495e-011,
4,0.0754439,3.29976e-008,2.03745e-007,4.50972e-007,3.12557e-007,6.13828e-008,3.1125e-009,3.79513e-011,
5,0.0948544,3.19931e-008,2.01055e-007,4.48645e-007,3.11857e-007,6.13012e-008,3.10924e-009,3.7915e-011,
6,0.11449,3.36103e-008,1.99644e-007,4.16414e-007,2.74237e-007,5.21582e-008,2.60121e-009,3.14759e-011,
7,0.134352,2.78703e-008,1.71309e-007,3.69519e-007,2.4961e-007,4.82045e-008,2.42285e-009,2.94223e-011,
8,0.154445,3.01062e-008,1.81134e-007,3.86675e-007,2.60126e-007,5.0163e-008,2.52001e-009,3.05966e-011,
9,0.174771,3.08299e-008,1.86084e-007,3.86278e-007,2.51553e-007,4.74113e-008,2.35218e-009,2.83913e-011,
10,0.195332,2.87738e-008,1.81688e-007,4.05795e-007,2.81928e-007,5.5385e-008,2.80815e-009,3.42374e-011,
11,0.216131,3.03031e-008,1.86841e-007,4.11868e-007,2.84381e-007,5.57168e-008,2.82175e-009,3.43868e-011,
12,0.237172,3.30566e-008,2.05978e-007,4.47777e-007,3.03675e-007,5.87543e-008,2.95554e-009,3.59039e-011,
13,0.258456,3.16406e-008,2.03826e-007,4.68453e-007,3.47733e-007,7.90545e-008,5.33432e-009,1.05102e-010,
14,0.279986,3.26099e-008,2.18101e-007,5.34576e-007,4.39411e-007,1.16377e-007,9.51714e-009,2.24681e-010,
15,0.301766,3.25705e-008,2.14274e-007,5.39346e-007,4.84701e-007,1.47336e-007,1.38492e-008,3.61164e-010,
16,0.323799,3.27654e-008,2.13777e-007,5.40919e-007,4.98127e-007,1.56766e-007,1.51866e-008,4.03548e-010,
17,0.346087,3.51243e-008,2.31841e-007,5.7628e-007,5.16646e-007,1.59016e-007,1.51899e-008,4.00664e-010,
18,0.368632,3.43358e-008,2.36044e-007,6.14025e-007,5.60938e-007,1.71071e-007,1.60449e-008,4.17357e-010,
19,0.391439,3.35558e-008,2.24154e-007,5.62079e-007,4.90767e-007,1.42641e-007,1.2855e-008,3.26028e-010,
20,0.414511,3.4364e-008,2.3183e-007,5.86214e-007,5.13852e-007,1.49317e-007,1.34298e-008,3.39998e-010,
21,0.437849,3.52349e-008,2.38441e-007,6.09949e-007,5.49953e-007,1.66315e-007,1.55248e-008,4.02855e-010,
22,0.461458,3.67042e-008,2.48399e-007,6.27429e-007,5.51066e-007,1.61157e-007,1.46032e-008,3.71709e-010,
23,0.485341,3.73392e-008,2.53533e-007,6.48927e-007,5.83625e-007,1.75732e-007,1.63366e-008,4.22779e-010,
24,0.5095,3.84722e-008,2.67621e-007,7.22896e-007,7.00743e-007,2.27936e-007,2.24926e-008,6.03199e-010,
25,0.533939,3.83732e-008,2.64722e-007,7.04632e-007,6.76223e-007,2.19206e-007,2.16274e-008,5.80285e-010,
26,0.558661,3.93234e-008,2.71746e-007,7.22907e-007,6.94504e-007,2.25771e-007,2.23369e-008,6.00382e-010,
27,0.58367,3.98075e-008,2.792e-007,7.63502e-007,7.58883e-007,2.54411e-007,2.57096e-008,6.99162e-010,
28,0.608968,4.10104e-008,2.86552e-007,7.69906e-007,7.42068e-007,2.40702e-007,2.37322e-008,6.36341e-010,
29,0.634559,4.16086e-008,2.91389e-007,7.81191e-007,7.46781e-007,2.39606e-007,2.34128e-008,6.2439e-010,
30,0.660447,4.16826e-008,2.91985e-007,7.86268e-007,7.57093e-007,2.44753e-007,2.40518e-008,6.43549e-010,
31,0.686635,4.22159e-008,2.96916e-007,8.13788e-007,8.0918e-007,2.71023e-007,2.73592e-008,7.43506e-010,
32,0.713126,4.32421e-008,3.06676e-007,8.52442e-007,8.6366e-007,2.94468e-007,3.00976e-008,8.23556e-010,
33,0.739924,4.45294e-008,3.16428e-007,8.7115e-007,8.63792e-007,2.87469e-007,2.88558e-008,7.81502e-010,
34,0.767033,4.61655e-008,3.33111e-007,9.28222e-007,9.254e-007,3.08124e-007,3.08944e-008,8.35893e-010,
35,0.794456,4.64374e-008,3.33601e-007,9.31487e-007,9.38639e-007,3.16922e-007,3.21297e-008,8.74947e-010,
36,0.822196,4.68593e-008,3.35895e-007,9.44181e-007,9.68798e-007,3.36079e-007,3.54285e-008,1.03621e-009,
37,0.850258,4.77588e-008,3.40244e-007,9.43638e-007,9.53485e-007,3.30633e-007,3.62035e-008,1.17732e-009,
38,0.878644,4.89008e-008,3.50441e-007,9.84245e-007,1.01964e-006,3.71447e-007,4.46464e-008,1.69324e-009,
39,0.90736,5.01092e-008,3.60697e-007,1.0174e-006,1.0585e-006,3.88614e-007,4.74515e-008,1.84405e-009,
40,0.936408,5.13367e-008,3.72841e-007,1.06118e-006,1.10966e-006,4.04988e-007,4.82813e-008,1.79863e-009,
41,0.965793,5.23683e-008,3.83163e-007,1.10685e-006,1.17958e-006,4.34302e-007,5.09388e-008,1.81174e-009,
42,0.995519,5.29957e-008,3.84241e-007,1.09052e-006,1.13806e-006,4.14133e-007,4.90166e-008,1.80265e-009,
43,1.02559,5.38642e-008,3.91312e-007,1.11155e-006,1.1574e-006,4.18707e-007,4.90666e-008,1.7785e-009,
44,1.05601,5.49419e-008,4.01427e-007,1.15036e-006,1.21357e-006,4.47927e-007,5.41835e-008,2.05606e-009,
45,1.08678,5.61891e-008,4.11424e-007,1.18688e-006,1.27131e-006,4.83735e-007,6.16874e-008,2.51893e-009,
46,1.1179,5.75597e-008,4.23548e-007,1.24028e-006,1.36853e-006,5.46711e-007,7.47454e-008,3.30878e-009,
47,1.14939,5.86665e-008,4.35568e-007,1.28329e-006,1.41897e-006,5.66176e-007,7.71632e-008,3.40311e-009,
48,1.18124,5.97381e-008,4.40912e-007,1.28133e-006,1.3948e-006,5.53384e-007,7.62926e-008,3.44182e-009,
49,1.21346,6.10733e-008,4.5103e-007,1.31282e-006,1.42786e-006,5.59398e-007,7.4839e-008,3.24493e-009,
50,1.24606,6.20962e-008,4.60997e-007,1.35575e-006,1.49585e-006,5.95926e-007,8.11679e-008,3.57994e-009,
51,1.27903,6.32721e-008,4.71535e-007,1.3966e-006,1.55215e-006,6.20044e-007,8.40849e-008,3.67492e-009,
52,1.31239,6.45022e-008,4.80839e-007,1.42511e-006,1.59894e-006,6.58861e-007,9.45885e-008,4.42407e-009,
53,1.34613,6.61751e-008,4.92691e-007,1.46144e-006,1.63666e-006,6.6643e-007,9.33646e-008,4.24055e-009,
54,1.38026,6.83258e-008,5.10601e-007,1.53574e-006,1.76109e-006,7.40624e-007,1.07787e-007,5.07781e-009,
55,1.41479,6.9122e-008,5.17998e-007,1.54429e-006,1.73048e-006,7.01682e-007,9.75521e-008,4.3928e-009,
56,1.44971,7.01325e-008,5.26862e-007,1.5782e-006,1.79285e-006,7.47639e-007,1.08383e-007,5.10443e-009,
57,1.48504,7.14992e-008,5.38859e-007,1.62057e-006,1.84414e-006,7.64622e-007,1.09215e-007,5.04992e-009,
58,1.52078,7.29954e-008,5.51044e-007,1.66269e-006,1.90606e-006,8.01352e-007,1.16788e-007,5.51517e-009,
59,1.55694,7.43912e-008,5.63089e-007,1.70038e-006,1.94817e-006,8.20285e-007,1.20201e-007,5.71771e-009,
60,1.59351,7.57707e-008,5.74353e-007,1.73655e-006,1.98734e-006,8.30636e-007,1.19974e-007,5.61309e-009,
61,1.63051,7.922e-008,5.98628e-007,1.80408e-006,2.0832e-006,8.95276e-007,1.35018e-007,6.60375e-009,
62,1.66794,7.93684e-008,6.0648e-007,1.86083e-006,2.17283e-006,9.25533e-007,1.3545e-007,6.3845e-009,
63,1.7058,8.05344e-008,6.14357e-007,1.87935e-006,2.19638e-006,9.4874e-007,1.42926e-007,6.96458e-009,
64,1.7441,8.22095e-008,6.28098e-007,1.92746e-006,2.26771e-006,9.91421e-007,1.51803e-007,7.51326e-009,
65,1.78284,8.41831e-008,6.43527e-007,1.97294e-006,2.29994e-006,9.80897e-007,1.44433e-007,6.86533e-009,
66,1.82203,8.62892e-008,6.61724e-007,2.03652e-006,2.39498e-006,1.04393e-006,1.59256e-007,7.85832e-009,
67,1.86167,8.75594e-008,6.72718e-007,2.07446e-006,2.45161e-006,1.07781e-006,1.66179e-007,8.27838e-009,
68,1.90178,8.99273e-008,6.90314e-007,2.12784e-006,2.5168e-006,1.10829e-006,1.71224e-007,8.55604e-009,
69,1.94235,9.19438e-008,7.05448e-007,2.18477e-006,2.61352e-006,1.17476e-006,1.87007e-007,9.71808e-009,
70,1.98339,9.50475e-008,7.22493e-007,2.2299e-006,2.65419e-006,1.17937e-006,1.8482e-007,9.50691e-009,
71,2.0249,9.53535e-008,7.35302e-007,2.28435e-006,2.72599e-006,1.20924e-006,1.88298e-007,9.59051e-009,
72,2.0669,9.73027e-008,7.52502e-007,2.34765e-006,2.83569e-006,1.29142e-006,2.08521e-007,1.0954e-008,
73,2.10938,9.94048e-008,7.7422e-007,2.44211e-006,2.97589e-006,1.35278e-006,2.157e-007,1.11748e-008,
74,2.15235,1.01088e-007,7.86112e-007,2.46988e-006,2.99071e-006,1.35114e-006,2.15185e-007,1.12908e-008,
75,2.19582,1.02929e-007,8.02603e-007,2.53411e-006,3.09505e-006,1.42029e-006,2.32646e-007,1.28644e-008,
76,2.2398,1.05161e-007,8.20685e-007,2.59232e-006,3.17755e-006,1.47516e-006,2.46461e-007,1.3957e-008,
77,2.28428,1.07551e-007,8.40036e-007,2.65123e-006,3.22994e-006,1.47578e-006,2.40608e-007,1.3275e-008,
78,2.32928,1.0972e-007,8.57577e-007,2.70748e-006,3.29899e-006,1.50715e-006,2.45735e-007,1.35814e-008,
79,2.37481,1.12532e-007,8.79204e-007,2.78392e-006,3.44833e-006,1.63393e-006,2.7958e-007,1.6081e-008,
80,2.42085,1.1706e-007,9.11454e-007,2.86398e-006,3.50437e-006,1.62819e-006,2.73161e-007,1.5711e-008,
81,2.46744,1.16864e-007,9.17571e-007,2.91801e-006,3.59541e-006,1.67339e-006,2.80955e-007,1.623e-008,
82,2.51456,1.20049e-007,9.40822e-007,2.99278e-006,3.69343e-006,1.72505e-006,2.90664e-007,1.67603e-008,
83,2.56223,1.25115e-007,9.68348e-007,3.07695e-006,3.83937e-006,1.83514e-006,3.1808e-007,1.87334e-008,
84,2.61045,1.2575e-007,9.87228e-007,3.14485e-006,3.89524e-006,1.82759e-006,3.09776e-007,1.80857e-008,
85,2.65923,1.28075e-007,1.00729e-006,3.21299e-006,3.99036e-006,1.8821e-006,3.21271e-007,1.8881e-008,
86,2.70857,1.29812e-007,1.02346e-006,3.27811e-006,4.09866e-006,1.95397e-006,3.38171e-007,2.01572e-008,
87,2.75849,1.32497e-007,1.04654e-006,3.3679e-006,4.25508e-006,2.06819e-006,3.67945e-007,2.26726e-008,
88,2.80898,1.35469e-007,1.07602e-006,3.48421e-006,4.40186e-006,2.11396e-006,3.69459e-007,2.25998e-008,
89,2.86006,1.38392e-007,1.10252e-006,3.5798e-006,4.53103e-006,2.17571e-006,3.79211e-007,2.30696e-008,
90,2.91173,1.41392e-007,1.12427e-006,3.63767e-006,4.59461e-006,2.2103e-006,3.8712e-007,2.36465e-008,
91,2.964,1.43986e-007,1.14602e-006,3.73024e-006,4.79838e-006,2.39288e-006,4.39178e-007,2.80206e-008,
92,3.01688,1.46697e-007,1.16904e-006,3.80126e-006,4.83241e-006,2.34837e-006,4.21075e-007,2.71123e-008,
93,3.07036,1.49767e-007,1.19405e-006,3.87888e-006,4.93242e-006,2.40465e-006,4.31919e-007,2.75627e-008,
94,3.12447,1.54307e-007,1.23074e-006,3.99361e-006,5.07462e-006,2.47826e-006,4.47167e-007,2.87144e-008,
95,3.1792,1.62067e-007,1.27641e-006,4.11966e-006,5.25972e-006,2.60705e-006,4.81632e-007,3.19231e-008,
96,3.23457,1.649e-007,1.30141e-006,4.21805e-006,5.42361e-006,2.70845e-006,5.0179e-007,3.30289e-008,
97,3.29058,1.63793e-007,1.31096e-006,4.28613e-006,5.50498e-006,2.72224e-006,4.98597e-007,3.26735e-008,
98,3.34724,1.68097e-007,1.34535e-006,4.39556e-006,5.63136e-006,2.78303e-006,5.14014e-007,3.45126e-008,
99,3.40456,1.71003e-007,1.36749e-006,4.47154e-006,5.74562e-006,2.84754e-006,5.24757e-007,3.47928e-008,
100,3.46253,1.75972e-007,1.41416e-006,4.64551e-006,6.02826e-006,3.04232e-006,5.72767e-007,3.85528e-008,
101,3.52119,1.79021e-007,1.44019e-006,4.75105e-006,6.21271e-006,3.16228e-006,6.00692e-007,4.09111e-008,
102,3.58052,1.81944e-007,1.46327e-006,4.8172e-006,6.25496e-006,3.14176e-006,5.87695e-007,3.96027e-008,
103,3.64053,1.85722e-007,1.4977e-006,4.94068e-006,6.4306e-006,3.25378e-006,6.18781e-007,4.28505e-008,
104,3.70125,1.91207e-007,1.55389e-006,5.14573e-006,6.68147e-006,3.3566e-006,6.30537e-007,4.27877e-008,
105,3.76266,1.94072e-007,1.56832e-006,5.18697e-006,6.76089e-006,3.42112e-006,6.51654e-007,4.54586e-008,
106,3.82479,1.99114e-007,1.61741e-006,5.39631e-006,7.14903e-006,3.70156e-006,7.1724e-007,4.97781e-008,
107,3.88764,2.04607e-007,1.6451e-006,5.45263e-006,7.16244e-006,3.66023e-006,7.02328e-007,4.90453e-008,
108,3.95121,2.08953e-007,1.67755e-006,5.55747e-006,7.30565e-006,3.74897e-006,7.26613e-007,5.16119e-008,
109,4.01552,2.11903e-007,1.7145e-006,5.69169e-006,7.46858e-006,3.81727e-006,7.35786e-007,5.19092e-008,
110,4.08058,2.21269e-007,1.78617e-006,5.89139e-006,7.70051e-006,3.9414e-006,7.678e-007,5.55296e-008,
111,4.14639,2.2462e-007,1.81649e-006,6.01979e-006,7.92999e-006,4.08887e-006,7.95013e-007,5.63958e-008,
112,4.21297,2.26183e-007,1.84558e-006,6.22078e-006,8.38736e-006,4.44949e-006,8.90576e-007,6.46584e-008,
113,4.28031,2.30273e-007,1.87507e-006,6.2673e-006,8.29653e-006,4.28997e-006,8.39619e-007,6.04889e-008,
114,4.34843,2.3565e-007,1.91852e-006,6.41659e-006,8.51215e-006,4.42462e-006,8.74778e-007,6.40217e-008,
115,4.41735,2.41723e-007,1.97128e-006,6.61963e-006,8.81434e-006,4.58502e-006,9.05123e-007,6.61986e-008,
116,4.48706,2.47656e-007,2.02237e-006,6.81665e-006,9.13678e-006,4.78243e-006,9.45585e-007,6.87996e-008,
117,4.55758,2.52634e-007,2.05957e-006,6.90579e-006,9.22643e-006,4.85008e-006,9.72983e-007,7.24945e-008,
118,4.62892,2.57529e-007,2.1056e-006,7.09985e-006,9.56234e-006,5.06612e-006,1.0172e-006,7.49691e-008,
119,4.70108,2.63591e-007,2.15451e-006,7.27648e-006,9.81285e-006,5.22117e-006,1.06396e-006,8.08865e-008,
120,4.77408,2.72959e-007,2.21763e-006,7.45413e-006,9.96676e-006,5.22877e-006,1.0448e-006,7.75799e-008,
121,4.84793,2.7506e-007,2.26183e-006,7.65732e-006,1.03212e-005,5.49071e-006,1.12438e-006,8.66395e-008,
122,4.92263,2.80549e-007,2.29808e-006,7.77235e-006,1.04883e-005,5.57415e-006,1.12964e-006,8.51594e-008,
123,4.99819,2.87707e-007,2.35436e-006,7.94191e-006,1.06834e-005,5.67073e-006,1.15685e-006,8.88547e-008,
124,5.07463,2.93937e-007,2.4112e-006,8.15486e-006,1.10089e-005,5.87748e-006,1.21202e-006,9.47816e-008,
125,5.15196,3.04526e-007,2.49492e-006,8.43049e-006,1.14061e-005,6.08606e-006,1.23771e-006,9.38048e-008,
126,5.23019,3.13139e-007,2.57467e-006,8.74646e-006,1.19642e-005,6.51327e-006,1.36342e-006,1.0677e-007,
127,5.30931,3.1309e-007,2.58373e-006,8.7959e-006,1.196e-005,6.43076e-006,1.33002e-006,1.03626e-007,
128,5.38936,3.19919e-007,2.63896e-006,8.98397e-006,1.22219e-005,6.57321e-006,1.35875e-006,1.05823e-007,
129,5.47033,3.27579e-007,2.70857e-006,9.23025e-006,1.25619e-005,6.78728e-006,1.42667e-006,1.14773e-007,
130,5.55225,3.33604e-007,2.75609e-006,9.40254e-006,1.28222e-005,6.90825e-006,1.42806e-006,1.11103e-007,
131,5.63511,3.43123e-007,2.85181e-006,9.7481e-006,1.32661e-005,7.14955e-006,1.49611e-006,1.19783e-007,
132,5.71893,3.55652e-007,2.92365e-006,9.96765e-006,1.35872e-005,7.35437e-006,1.55054e-006,1.25539e-007,
133,5.80372,3.61946e-007,2.97304e-006,1.01531e-005,1.39023e-005,7.52587e-006,1.56662e-006,1.23579e-007,
134,5.88949,3.67195e-007,3.04552e-006,1.04969e-005,1.4618e-005,8.12271e-006,1.73596e-006,1.3908e-007,
135,5.97626,3.74006e-007,3.09931e-006,1.06352e-005,1.46651e-005,8.06311e-006,1.72562e-006,1.41492e-007,
136,6.06403,3.82627e-007,3.17779e-006,1.0906e-005,1.49808e-005,8.16945e-006,1.72685e-006,1.39583e-007,
137,6.15282,3.91817e-007,3.25083e-006,1.11611e-005,1.53579e-005,8.40721e-006,1.79075e-006,1.46618e-007,
138,6.24264,3.99781e-007,3.31996e-006,1.14082e-005,1.57236e-005,8.64291e-006,1.85826e-006,1.54425e-007,
139,6.3335,4.08903e-007,3.40063e-006,1.16932e-005,1.61177e-005,8.83331e-006,1.87883e-006,1.53291e-007,
140,6.42541,4.16941e-007,3.47166e-006,1.19691e-005,1.65511e-005,9.10328e-006,1.94793e-006,1.60511e-007,
141,6.51839,4.35588e-007,3.60837e-006,1.23791e-005,1.71696e-005,9.57208e-006,2.09842e-006,1.78461e-007,
142,6.61244,4.42334e-007,3.67281e-006,1.26297e-005,1.74965e-005,9.67039e-006,2.07602e-006,1.71235e-007,
143,6.70758,4.47645e-007,3.73274e-006,1.29126e-005,1.79589e-005,9.94473e-006,2.14019e-006,1.77627e-007,
144,6.80383,4.58244e-007,3.82334e-006,1.32612e-005,1.86009e-005,1.04816e-005,2.31209e-006,1.96594e-007,
145,6.90119,4.69684e-007,3.90898e-006,1.3498e-005,1.8753e-005,1.0415e-005,2.26508e-006,1.91457e-007,
146,6.99968,4.86409e-007,4.01792e-006,1.38472e-005,1.92364e-005,1.06813e-005,2.32191e-006,1.96398e-007,
147,7.0993,4.902e-007,4.0942e-006,1.41853e-005,1.97898e-005,1.10444e-005,2.41624e-006,2.06076e-007,
148,7.20009,5.01429e-007,4.19221e-006,1.45444e-005,2.03649e-005,1.1465e-005,2.55078e-006,2.22533e-007,
149,7.30204,5.12298e-007,4.29155e-006,1.49063e-005,2.08334e-005,1.16331e-005,2.54081e-006,2.16079e-007,
150,7.40517,5.24801e-007,4.39957e-006,1.5312e-005,2.14536e-005,1.20155e-005,2.62895e-006,2.23261e-007,
151,7.5095,5.39144e-007,4.51106e-006,1.56735e-005,2.1945e-005,1.23311e-005,2.73171e-006,2.37848e-007,
152,7.61503,5.52725e-007,4.61206e-006,1.59915e-005,2.23988e-005,1.26241e-005,2.81838e-006,2.48147e-007,
153,7.72179,5.65715e-007,4.73001e-006,1.64275e-005,2.30374e-005,1.29627e-005,2.87219e-006,2.49733e-007,
154,7.82979,5.75297e-007,4.84114e-006,1.6921e-005,2.38169e-005,1.34024e-005,2.95879e-006,2.56532e-007,
155,7.93903,5.89345e-007,4.97712e-006,1.74549e-005,2.47339e-005,1.40996e-005,3.15723e-006,2.75671e-007,
156,8.04955,5.99355e-007,5.04254e-006,1.76286e-005,2.48964e-005,1.41684e-005,3.19687e-006,2.84327e-007,
157,8.16134,6.13228e-007,5.1597e-006,1.80422e-005,2.54515e-005,1.43948e-005,3.20292e-006,2.8106e-007,
158,8.27443,6.38324e-007,5.34919e-006,1.86204e-005,2.62283e-005,1.48457e-005,3.3119e-006,2.91114e-007,
159,8.38882,6.58783e-007,5.56176e-006,1.93861e-005,2.71854e-005,1.53172e-005,3.41241e-006,3.0087e-007,
160,8.50455,6.66074e-007,5.5734e-006,1.95031e-005,2.76849e-005,1.5905e-005,3.64873e-006,3.33407e-007,
161,8.62161,6.77495e-007,5.69371e-006,1.99484e-005,2.82991e-005,1.61763e-005,3.65308e-006,3.24864e-007,
